Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,ASSAM,Kaliabor,6,DIP GOGOI,INC,0,Graduate,54,Not Available,Not Available,Yes
2004,ASSAM,Kaliabor,1,ANIL CHOUDHURY,LJNSP,0,10th Pass,46,"Rs 2,55,020 ~ 2 Lacs+",Rs 0 ~,No
2004,ASSAM,Kaliabor,2,ATAUR RAHMAN,SAP,0,10th Pass,55,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
2004,ASSAM,Kaliabor,3,BIKASH TANTI,IND,0,Post Graduate,30,Not Available,Not Available,No
2004,ASSAM,Kaliabor,4,BINOD GOGOI,IND,0,Graduate,32,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2004,ASSAM,Kaliabor,5,DIMBESWAR BORA,SP,0,Graduate,42,"Rs 11,96,000 ~ 11 Lacs+",Rs 0 ~,No
2004,ASSAM,Kaliabor,7,JITEN GOGOI,IND,0,Literate,41,"Rs 92,94,602 ~ 92 Lacs+","Rs 2,99,000 ~ 2 Lacs+",No
2004,ASSAM,Kaliabor,8,JITU SARMAH,IND,0,10th Pass,36,"Rs 5,65,000 ~ 5 Lacs+",Rs 0 ~,No
2004,ASSAM,Kaliabor,9,JUREN RAJKHOWA,IND,0,Graduate,58,Not Available,Not Available,No
2004,ASSAM,Kaliabor,10,KESHAB MAHANTA,AGP,0,Post Graduate,43,"Rs 39,76,021 ~ 39 Lacs+",Rs 0 ~,No
2004,ASSAM,Kaliabor,11,RASHIDUL HAQUE,JD(U),3,10th Pass,72,"Rs 11,28,000 ~ 11 Lacs+",Rs 0 ~,No
