Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,ASSAM,Silchar,11,SONTOSH MOHAN DEV,INC,0,Graduate,70,"Rs 1,23,56,601 ~ 1 Crore+","Rs 1,70,759 ~ 1 Lacs+",Yes
2004,ASSAM,Silchar,1,ALOK SEN,SAP,0,Graduate,33,"Rs 91,349 ~ 91 Thou+",Rs 0 ~,No
2004,ASSAM,Silchar,2,ANWAR HUSSAIN LASKAR,SP,2,8th Pass,42,"Rs 38,74,712 ~ 38 Lacs+",Rs 0 ~,No
2004,ASSAM,Silchar,3,ASHUTOSH DAS,IND,0,Literate,42,Not Available,Not Available,No
2004,ASSAM,Silchar,4,BENU BHUSON NATH,IND,0,8th Pass,51,"Rs 48,000 ~ 48 Thou+",Rs 0 ~,No
2004,ASSAM,Silchar,5,KABINDRA PURKYASTHA,BJP,0,Post Graduate,73,"Rs 41,94,019 ~ 41 Lacs+","Rs 2,39,231 ~ 2 Lacs+",No
2004,ASSAM,Silchar,6,KANTIMOY DEB,IND,0,Graduate,55,Not Available,Not Available,No
2004,ASSAM,Silchar,7,KSHITINDRA SARKAR,IND,0,5th Pass,35,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No
2004,ASSAM,Silchar,8,MANORANJAN DAS,IND,0,8th Pass,47,"Rs 2,19,000 ~ 2 Lacs+",Rs 0 ~,No
2004,ASSAM,Silchar,9,NOORUL HUDA,CPM,0,Post Graduate,74,Not Available,Not Available,No
2004,ASSAM,Silchar,10,SAMARENDRA GHOSH,IND,0,Post Graduate,61,"Rs 24,55,000 ~ 24 Lacs+","Rs 3,03,120 ~ 3 Lacs+",No
