Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,BIHAR,Balia,10,SURAJ SINGH,LJNSP,17,Literate,38,"Rs 15,16,070 ~ 15 Lacs+","Rs 60,024 ~ 60 Thou+",Yes
2004,BIHAR,Balia,1,AUNKUSHA BAHA,IND,0,Others,47,"Rs 21,25,000 ~ 21 Lacs+",Rs 0 ~,No
2004,BIHAR,Balia,2,CHHATRAPATI YADAV,IND,0,Post Graduate,36,"Rs 17,08,000 ~ 17 Lacs+",Rs 0 ~,No
2004,BIHAR,Balia,3,GANESH YADAV,BSP,0,Graduate,41,Not Available,Not Available,No
2004,BIHAR,Balia,4,KULDIP NARAYAN SINGH PATEL,SAP,0,8th Pass,79,"Rs 8,45,150 ~ 8 Lacs+",Rs 0 ~,No
2004,BIHAR,Balia,5,MAHBOOB ALAM,KVSP,0,Literate,42,"Rs 1,48,500 ~ 1 Lacs+",Rs 0 ~,No
2004,BIHAR,Balia,6,RAJVANSHI MAHTO,SP,1,10th Pass,48,Not Available,Not Available,No
2004,BIHAR,Balia,7,RAMJIVAN SINGH,JD(U),0,Post Graduate,73,"Rs 1,19,73,598 ~ 1 Crore+","Rs 20,000 ~ 20 Thou+",No
2004,BIHAR,Balia,8,SHAHID AKHTAR,IND,0,Literate,44,"Rs 4,10,000 ~ 4 Lacs+",Rs 0 ~,No
2004,BIHAR,Balia,9,SHATRUGHNA PRASAD SINGH,CPI,0,Graduate,62,Not Available,Not Available,No
2004,BIHAR,Balia,11,UPENDAR DAS,AD,0,Illiterate,43,"Rs 3,08,000 ~ 3 Lacs+","Rs 10,000 ~ 10 Thou+",No
