Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,BIHAR,Banka,4,GIRIDHARI YADAV,RJD,0,Post Graduate,40,"Rs 28,41,000 ~ 28 Lacs+","Rs 3,51,513 ~ 3 Lacs+",Yes
2004,BIHAR,Banka,1,AMP YADAV,IND,0,Not Given,39,"Rs 63,500 ~ 63 Thou+",Rs 0 ~,No
2004,BIHAR,Banka,2,DIGVIJAY SINGH,JD(U),0,Post Graduate,48,"Rs 2,07,74,629 ~ 2 Crore+","Rs 4,29,520 ~ 4 Lacs+",No
2004,BIHAR,Banka,3,FANI LAL SAH,IND,0,8th Pass,47,Not Available,Not Available,No
2004,BIHAR,Banka,5,MAHBOOB ALAM ANSARI,IND,0,Graduate,44,"Rs 14,00,000 ~ 14 Lacs+",Rs 0 ~,No
2004,BIHAR,Banka,6,MITHAN YADAV,IND,0,12th Pass,37,Not Available,Not Available,No
2004,BIHAR,Banka,7,PRAVIN KUMAR JHA,IND,0,10th Pass,30,"Rs 8,65,000 ~ 8 Lacs+",Rs 0 ~,No
2004,BIHAR,Banka,8,RAJENDRA PANDIT NETAJEE,BSP,1,8th Pass,53,"Rs 8,60,243 ~ 8 Lacs+","Rs 8,300 ~ 8 Thou+",No
2004,BIHAR,Banka,9,RANVIR YADAV,SP,15,10th Pass,35,Not Available,Not Available,No
2004,BIHAR,Banka,10,UDAY KUMAR SINGH,IND,0,Not Given,43,"Rs 59,00,000 ~ 59 Lacs+",Rs 0 ~,No
