Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,BIHAR,Muzaffarpur,8,GEORGE FERNANDES,JD(U),0,Others,72,"Rs 3,39,87,410 ~ 3 Crore+",Rs 0 ~,Yes
2004,BIHAR,Muzaffarpur,1,ANANT PD. TULSYAN,ABHM,0,10th Pass,65,"Rs 15,771 ~ 15 Thou+",Rs 0 ~,No
2004,BIHAR,Muzaffarpur,2,ANURODH PRAGAT,IND,0,Graduate,25,"Rs 2,75,205 ~ 2 Lacs+",Rs 0 ~,No
2004,BIHAR,Muzaffarpur,3,ARVIND CHOUDHARY,RLSM,0,12th Pass,37,Not Available,Not Available,No
2004,BIHAR,Muzaffarpur,4,BHAGWAN LAL SAHANI,RJD,0,Doctorate,57,"Rs 19,18,000 ~ 19 Lacs+",Rs 0 ~,No
2004,BIHAR,Muzaffarpur,5,BHIKHARI RAM,IND,0,Not Given,34,"Rs 6,500 ~ 6 Thou+",Rs 0 ~,No
2004,BIHAR,Muzaffarpur,6,DEVENDRA RAKESH,IND,1,Post Graduate,49,Not Available,Not Available,No
2004,BIHAR,Muzaffarpur,7,DINESH PRASAD CHAUDHARY,IND,0,Not Given,0,Nil,Rs 0 ~,No
2004,BIHAR,Muzaffarpur,9,JITENDRA YADAV,CPI(ML)(L),0,12th Pass,31,Not Available,Not Available,No
2004,BIHAR,Muzaffarpur,10,MAHESHWAR PRASAD YADAV,SP,0,10th Pass,56,"Rs 11,93,937 ~ 11 Lacs+","Rs 3,33,644 ~ 3 Lacs+",No
2004,BIHAR,Muzaffarpur,11,PARMANAND SINGH,IND,0,Not Given,33,"Rs 28,000 ~ 28 Thou+",Rs 0 ~,No
2004,BIHAR,Muzaffarpur,12,RAMESHWAR RAI,BSP,0,Others,62,Not Available,Not Available,No
2004,BIHAR,Muzaffarpur,13,SHIVNATH PRASAD GUPTA,IND,0,Graduate,37,"Rs 13,37,754 ~ 13 Lacs+","Rs 6,98,401 ~ 6 Lacs+",No
2004,BIHAR,Muzaffarpur,14,SHYAM KALYAN PASWAN,IND,0,Post Graduate,39,"Rs 5,39,600 ~ 5 Lacs+",Rs 0 ~,No
