Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,HARYANA,Karnal,2,ARVIND KUMAR SHARMA,INC,0,Post Graduate,42,"Rs 57,36,332 ~ 57 Lacs+",Rs 0 ~,Yes
2004,HARYANA,Karnal,1,ANGREJ SINGH JOON,RGD,0,Graduate Professional,30,"Rs 98,000 ~ 98 Thou+","Rs 30,000 ~ 30 Thou+",No
2004,HARYANA,Karnal,3,ASHOK KUMAR ARORA,INLD,0,10th Pass,45,Not Available,Not Available,No
2004,HARYANA,Karnal,4,ASHOK KUMAR KASHYAP,BSP,0,Doctorate,37,"Rs 19,16,540 ~ 19 Lacs+","Rs 10,465 ~ 10 Thou+",No
2004,HARYANA,Karnal,5,DULI CHAND MALIK,IND,0,Post Graduate,66,"Rs 19,00,000 ~ 19 Lacs+","Rs 3,27,000 ~ 3 Lacs+",No
2004,HARYANA,Karnal,6,I. D. SWAMI,BJP,0,Post Graduate,74,Not Available,Not Available,No
2004,HARYANA,Karnal,7,KULDIP SHARMA,IND,0,Graduate Professional,47,"Rs 38,89,211 ~ 38 Lacs+","Rs 1,76,579 ~ 1 Lacs+",No
2004,HARYANA,Karnal,8,MAHINDER SINGH,CPI(ML)(L),0,Not Given,48,Nil,Rs 0 ~,No
2004,HARYANA,Karnal,9,MAHINDER SINGH RANA,IND,0,Literate,47,Not Available,Not Available,No
2004,HARYANA,Karnal,10,NARESH SACHDEVA,IND,0,10th Pass,41,"Rs 3,22,500 ~ 3 Lacs+",Rs 0 ~,No
2004,HARYANA,Karnal,11,PREMO ALIAS PREMVATI KASHYAP,FCI,0,Not Given,35,"Rs 10,40,000 ~ 10 Lacs+",Rs 0 ~,No
2004,HARYANA,Karnal,12,RAGHUMAL BHATT,SP,0,Post Graduate,36,Not Available,Not Available,No
2004,HARYANA,Karnal,13,RAJ KUMAR,ES,0,Post Graduate,35,"Rs 15,12,000 ~ 15 Lacs+","Rs 21,000 ~ 21 Thou+",No
2004,HARYANA,Karnal,14,RAJ KUMAR KASHYAP,IND,0,Not Given,41,"Rs 6,50,000 ~ 6 Lacs+",Rs 0 ~,No
2004,HARYANA,Karnal,15,RAJBIR SINGH CHAUHAN,IND,2,Graduate,56,Not Available,Not Available,No
2004,HARYANA,Karnal,16,RAM CHANDER JANGRA,HVP,0,Not Given,53,"Rs 42,33,103 ~ 42 Lacs+","Rs 54,500 ~ 54 Thou+",No
2004,HARYANA,Karnal,17,RAM MEHAR SINGH,IND,0,Graduate Professional,46,"Rs 1,33,43,789 ~ 1 Crore+",Rs 0 ~,No
2004,HARYANA,Karnal,18,RISHI RAM GUPTA,IND,0,10th Pass,47,Not Available,Not Available,No
2004,HARYANA,Karnal,19,ROSHAN LAL BINDAL,SHS,0,Graduate,53,"Rs 41,80,000 ~ 41 Lacs+",Rs 0 ~,No
2004,HARYANA,Karnal,20,SURINDER SINGH HOODA,LJNSP,0,12th Pass,34,"Rs 35,36,332 ~ 35 Lacs+","Rs 7,50,905 ~ 7 Lacs+",No
