Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,JHARKHAND,Hazaribagh,2,BHUBNESHWAR PRASAD MEHTA,CPI,1,12th Pass,60,"Rs 9,70,342 ~ 9 Lacs+","Rs 2,50,000 ~ 2 Lacs+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1528
2004,JHARKHAND,Hazaribagh,1,ARVIND KUMAR,IND,0,Graduate Professional,40,"Rs 18,700 ~ 18 Thou+","Rs 88,200 ~ 88 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1536
2004,JHARKHAND,Hazaribagh,3,CHANDRA PRAKASH CHOUDHARY,AJSU Party,2,Graduate,35,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1530
2004,JHARKHAND,Hazaribagh,4,MAHABIR LAL BISHWAKARMA,IND,0,Post Graduate,68,"Rs 24,60,000 ~ 24 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1534
2004,JHARKHAND,Hazaribagh,5,MAHENDRA RAM,IND,1,8th Pass,35,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1539
2004,JHARKHAND,Hazaribagh,6,NIRANJAN MAHTO,IND,0,8th Pass,37,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1541
2004,JHARKHAND,Hazaribagh,7,SHYAM BIHARI PRAJAPATI,BSP,0,10th Pass,33,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1533
2004,JHARKHAND,Hazaribagh,8,SNEHLATA DEVI,IND,0,10th Pass,43,"Rs 2,000 ~ 2 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1532
2004,JHARKHAND,Hazaribagh,9,SUSHIL KUMAR SINGH,IND,0,Not Given,45,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1535
2004,JHARKHAND,Hazaribagh,10,VIJAY PRAKASH,SP,0,Graduate Professional,38,"Rs 10,62,000 ~ 10 Lacs+","Rs 1,80,872 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1540
2004,JHARKHAND,Hazaribagh,11,YASHWANT SINHA,BJP,0,Post Graduate,66,"Rs 1,56,37,769 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1529
