Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,MAHARASHTRA,Chandrapur,1,AHIR HANSRAJ GANGARAM,BJP,16,10th Pass,49,"Rs 26,53,960 ~ 26 Lacs+",Rs 0 ~,Yes
2004,MAHARASHTRA,Chandrapur,2,DEOTALE CHANDRASHEKHAR DIGAMBAR,Ambedkarist Republican Party,0,Graduate Professional,49,"Rs 7,25,000 ~ 7 Lacs+",Rs 0 ~,No
2004,MAHARASHTRA,Chandrapur,3,DIWAKAR GULAB PENDAM,IND,0,8th Pass,36,Not Available,Not Available,No
2004,MAHARASHTRA,Chandrapur,4,DR. ARUN GOPALRAO DESHPANDE,IND,0,Post Graduate,49,"Rs 21,52,000 ~ 21 Lacs+","Rs 1,93,000 ~ 1 Lacs+",No
2004,MAHARASHTRA,Chandrapur,5,DR. VASANT RUSHI MAHESHKAR (MASRAM),BBM,0,Graduate,59,"Rs 9,61,000 ~ 9 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2004,MAHARASHTRA,Chandrapur,6,GURUDAS KAMBLE GURUJI,IND,0,12th Pass,26,Not Available,Not Available,No
2004,MAHARASHTRA,Chandrapur,7,KHARTAD LOMESH MAROTI,IND,0,10th Pass,50,"Rs 13,000 ~ 13 Thou+",Rs 0 ~,No
2004,MAHARASHTRA,Chandrapur,8,NAGDEOTE SEOCHANDRA SHALIKRAM,PRCP,0,Not Given,36,"Rs 6,000 ~ 6 Thou+","Rs 2,01,601 ~ 2 Lacs+",No
2004,MAHARASHTRA,Chandrapur,9,NARESH PUGLIA,INC,2,Graduate,55,Not Available,Not Available,No
2004,MAHARASHTRA,Chandrapur,10,RAJENDRA VAIDYA,BSP,3,Post Graduate,42,"Rs 20,46,030 ~ 20 Lacs+",Rs 0 ~,No
2004,MAHARASHTRA,Chandrapur,11,TAYARA CHHOTU SHEIKH (PASHA),IND,1,12th Pass,30,"Rs 5,10,600 ~ 5 Lacs+","Rs 66,750 ~ 66 Thou+",No
