Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,ORISSA,Bhubaneswar,6,PRASANNA KUMAR PATASANI,BJD,0,Post Graduate,56,Not Available,Not Available,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2873
2004,ORISSA,Bhubaneswar,1,B. RAMACHANDRA,IND,0,Post Graduate,60,"Rs 16,10,038 ~ 16 Lacs+",Rs 263 ~ 2 Hund+,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2876
2004,ORISSA,Bhubaneswar,2,BADRI NARAYAN ROUTRAY,BSP,0,Post Graduate,66,"Rs 1,08,000 ~ 1 Lacs+","Rs 2,195 ~ 2 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2878
2004,ORISSA,Bhubaneswar,3,KULAMANI SAHOO,IND,0,8th Pass,55,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2882
2004,ORISSA,Bhubaneswar,4,PRAMILA BEHERA,IND,0,Graduate,27,"Rs 14,000 ~ 14 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2875
2004,ORISSA,Bhubaneswar,5,PRAMOD SAMANTARA,RPI,0,12th Pass,47,Nil,Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2877
2004,ORISSA,Bhubaneswar,7,SANTOSH KUMAR MISHRA,ABHM,0,12th Pass,39,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2880
2004,ORISSA,Bhubaneswar,8,SHANTI DAS,SP,0,Post Graduate,62,"Rs 18,30,000 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2879
2004,ORISSA,Bhubaneswar,9,SOUMYA RANJAN PATNAIK,INC,8,Post Graduate,52,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2874
2004,ORISSA,Bhubaneswar,10,Sushant Kumar Choudhury,JD(U),0,Post Graduate,34,"Rs 12,45,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=2881
