Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,TAMIL NADU,Madras_Central,5,DAYANIDHI MARAN,DMK,0,Graduate,37,"Rs 1,44,20,628 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3430
2004,TAMIL NADU,Madras_Central,1,ARUNTHATHI JAIGANESH(ALIAS) JAIGANESH. S,IND,0,10th Pass,32,Nil,Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3438
2004,TAMIL NADU,Madras_Central,2,BALAGANGA N.,ADMK,1,Graduate,53,"Rs 37,51,791 ~ 37 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3431
2004,TAMIL NADU,Madras_Central,3,BHEEMA RAO. B R,IND,0,Graduate Professional,26,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3435
2004,TAMIL NADU,Madras_Central,4,"DALITKUDIMAHAN, T D K.(ALIAS) DAYA. KRISHNAMURTHY, T.",IND,0,12th Pass,34,"Rs 52,960 ~ 52 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3446
2004,TAMIL NADU,Madras_Central,6,"DURAIRAJ, J",IND,0,Graduate Professional,42,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3444
2004,TAMIL NADU,Madras_Central,7,FAROUK MOHAMED. M S,IND,0,10th Pass,48,"Rs 46,90,500 ~ 46 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3436
2004,TAMIL NADU,Madras_Central,8,"GOPINATH, D",IND,0,Graduate Professional,46,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3445
2004,TAMIL NADU,Madras_Central,9,"GOVINDARAJAN, A.",IND,0,Graduate Professional,44,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3452
2004,TAMIL NADU,Madras_Central,10,KALAIAZHAGAN A.,IND,0,Graduate Professional,40,"Rs 16,35,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3441
2004,TAMIL NADU,Madras_Central,11,"KUMARESH, N.",IND,0,10th Pass,55,"Rs 9,00,000 ~ 9 Lacs+","Rs 1,40,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3440
2004,TAMIL NADU,Madras_Central,12,"MEENAKSHISUNDARAM, S P",IND,0,Post Graduate,48,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3439
2004,TAMIL NADU,Madras_Central,13,"MOHAMED ANSARE, P",IND,0,Graduate,43,"Rs 21,15,000 ~ 21 Lacs+","Rs 6,30,000 ~ 6 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3434
2004,TAMIL NADU,Madras_Central,14,"MOHAMMED ALI JINNA, J",IND,0,10th Pass,27,"Rs 94,500 ~ 94 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3437
2004,TAMIL NADU,Madras_Central,15,RAVICHANDRAN K S.,IND,0,Graduate Professional,34,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3442
2004,TAMIL NADU,Madras_Central,16,"RAVIKUMAR, K G.",IND,0,10th Pass,51,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3450
2004,TAMIL NADU,Madras_Central,17,SAGUL HAMEEDHU,BSP,0,10th Pass,64,"Rs 22,85,718 ~ 22 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3433
2004,TAMIL NADU,Madras_Central,18,"VASANTHA, ( TMT.) L.",IND,0,8th Pass,46,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3447
2004,TAMIL NADU,Madras_Central,19,VENKATESAN G,JP,0,Post Graduate,32,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3432
2004,TAMIL NADU,Madras_Central,20,"VIJAYASEKAR, D",IND,0,10th Pass,42,"Rs 1,17,831 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=3451
