Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Baghpat,1,AJIT SINGH,RLD,0,Post Graduate,65,"Rs 1,34,23,683 ~ 1 Crore+","Rs 14,56,567 ~ 14 Lacs+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4005
2004,UTTAR PRADESH,Baghpat,2,ANAR SINGH,BRPP,1,Literate,48,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4013
2004,UTTAR PRADESH,Baghpat,3,AULAD ALI,BSP,0,Literate,46,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4006
2004,UTTAR PRADESH,Baghpat,4,BIRENDRA,IND,0,12th Pass,33,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4014
2004,UTTAR PRADESH,Baghpat,5,BRIJ PAL,RSBP,0,10th Pass,30,"Rs 11,480 ~ 11 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4018
2004,UTTAR PRADESH,Baghpat,6,HABIB AHMAD,IND,0,5th Pass,44,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4009
2004,UTTAR PRADESH,Baghpat,7,JAGVEER,INC,0,Post Graduate,0,"Rs 11,44,000 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4008
2004,UTTAR PRADESH,Baghpat,8,KRISHNA BHAGWAN SWAMI,RPI,0,12th Pass,40,"Rs 4,70,500 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4012
2004,UTTAR PRADESH,Baghpat,9,NARENDRA,IND,1,10th Pass,37,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4017
2004,UTTAR PRADESH,Baghpat,10,RAMAUTAR,IND,0,12th Pass,46,"Rs 16,91,000 ~ 16 Lacs+","Rs 2,571 ~ 2 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4016
2004,UTTAR PRADESH,Baghpat,11,SAMAR PAL,INLD,0,8th Pass,39,"Rs 5,71,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4010
2004,UTTAR PRADESH,Baghpat,12,SATYAPAL SINGH MALIK,BJP,0,Graduate Professional,56,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4007
2004,UTTAR PRADESH,Baghpat,13,SUBHASH,IND,0,8th Pass,30,"Rs 3,10,650 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4011
