Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Banda,11,SHYAMA CHARAN GUPT,SP,0,Graduate Professional,57,"Rs 11,24,56,867 ~ 11 Crore+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4058
2004,UTTAR PRADESH,Banda,1,AMRIT LAL,SVSP,0,8th Pass,45,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4065
2004,UTTAR PRADESH,Banda,2,BAIJNATH SAHU,PSJP,0,Graduate Professional,45,"Rs 10,56,850 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4070
2004,UTTAR PRADESH,Banda,3,BHAIRO PRASAD MISRA,BJP,0,12th Pass,49,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4060
2004,UTTAR PRADESH,Banda,4,CHANDRA PAL,CPI,0,Graduate Professional,41,"Rs 3,25,900 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4063
2004,UTTAR PRADESH,Banda,5,LAKHAN LAL,IND,0,5th Pass,47,"Rs 5,83,196 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4062
2004,UTTAR PRADESH,Banda,6,MANGI,IND,0,Literate,52,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4066
2004,UTTAR PRADESH,Banda,7,MO. SHAFIQ,AD,0,10th Pass,50,"Rs 12,10,800 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4064
2004,UTTAR PRADESH,Banda,8,NATTHOO URF DEVNATH,IND,0,Literate,36,"Rs 2,22,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4068
2004,UTTAR PRADESH,Banda,9,PRAKASH NARAIN,INC,0,Graduate,69,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4061
2004,UTTAR PRADESH,Banda,10,RAM SAJEEWAN,BSP,2,Post Graduate,68,"Rs 20,54,184 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4059
2004,UTTAR PRADESH,Banda,12,SULTAN,ASP,5,Not Given,36,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4067
