Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Chandauli,8,KAILASH NATH SINGH YADAV,BSP,0,Graduate,40,"Rs 58,43,089 ~ 58 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4185
2004,UTTAR PRADESH,Chandauli,1,AAN HEMANT KUSHWAHA,RSMD,0,12th Pass,40,"Rs 8,34,500 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4190
2004,UTTAR PRADESH,Chandauli,2,ANAND RATNA MAURYA,SP,0,Graduate Professional,50,"Rs 43,82,627 ~ 43 Lacs+","Rs 2,61,760 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4186
2004,UTTAR PRADESH,Chandauli,3,ASHOK SINGH,INC,0,Post Graduate,45,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4188
2004,UTTAR PRADESH,Chandauli,4,DR. SALIK TIWARI,BLP,0,Doctorate,59,"Rs 32,95,610 ~ 32 Lacs+","Rs 5,70,000 ~ 5 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4198
2004,UTTAR PRADESH,Chandauli,5,Hareelal,IND,0,Not Given,46,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4193
2004,UTTAR PRADESH,Chandauli,6,HARINATH SHARMA,PMSP,0,Literate,29,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4192
2004,UTTAR PRADESH,Chandauli,7,JAI PRAKASH,LP(S),0,Post Graduate,27,"Rs 2,61,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4194
2004,UTTAR PRADESH,Chandauli,9,MEVALAL VISHWAKARMA,IND,0,Post Graduate,34,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4195
2004,UTTAR PRADESH,Chandauli,10,RAM BABU,AD,0,12th Pass,31,"Rs 4,20,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4189
2004,UTTAR PRADESH,Chandauli,11,RAM SEWAK YADAV,IND,0,5th Pass,40,Nil,Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4196
2004,UTTAR PRADESH,Chandauli,12,SHASHIKANT RAJBHAR,BJP,7,12th Pass,38,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4187
2004,UTTAR PRADESH,Chandauli,13,SHIVMURAT RAM,GGP,0,Post Graduate,62,"Rs 8,04,646 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4197
2004,UTTAR PRADESH,Chandauli,14,TILAK,CPI(ML)(L),2,10th Pass,29,"Rs 2,00,000 ~ 2 Lacs+","Rs 1,10,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4191
