Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Ghazipur,1,AFAJAL ANSARI,SP,1,Post Graduate,50,"Rs 50,85,464 ~ 50 Lacs+","Rs 38,022 ~ 38 Thou+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4307
2004,UTTAR PRADESH,Ghazipur,2,AJAY,Suheldev Bhartiya Samaj Party,0,Graduate,40,"Rs 98,000 ~ 98 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4310
2004,UTTAR PRADESH,Ghazipur,3,AJEET SINGH,IND,0,Post Graduate,26,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4322
2004,UTTAR PRADESH,Ghazipur,4,ANIL KUMAR,IND,0,Graduate Professional,42,"Rs 59,500 ~ 59 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4315
2004,UTTAR PRADESH,Ghazipur,5,DR MANOJ KUMAR NISHAD,AD,0,Graduate,29,"Rs 65,000 ~ 65 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4318
2004,UTTAR PRADESH,Ghazipur,6,ISHWARI PRASAD KUSHAWAHA,CPI(ML)(L),0,Graduate Professional,45,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4317
2004,UTTAR PRADESH,Ghazipur,7,KAMLESH,IND,3,Post Graduate,49,"Rs 27,87,400 ~ 27 Lacs+","Rs 5,30,000 ~ 5 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4316
2004,UTTAR PRADESH,Ghazipur,8,Manoj,BJP,0,Graduate,44,"Rs 50,70,000 ~ 50 Lacs+","Rs 4,60,000 ~ 4 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4308
2004,UTTAR PRADESH,Ghazipur,9,NANDLAL,ASP,0,Graduate,62,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4321
2004,UTTAR PRADESH,Ghazipur,10,RAJARAM,RSBP,0,Graduate,30,"Rs 2,73,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4319
2004,UTTAR PRADESH,Ghazipur,11,RAM BADAN,CPI,0,Post Graduate,31,"Rs 1,80,953 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4312
2004,UTTAR PRADESH,Ghazipur,12,SHIVMURAT,IND,0,Post Graduate,33,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4314
2004,UTTAR PRADESH,Ghazipur,13,SHIVPRAKASH,INC,0,Graduate Professional,48,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4311
2004,UTTAR PRADESH,Ghazipur,14,SONHU,IND,0,Not Given,33,Nil,Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4313
2004,UTTAR PRADESH,Ghazipur,15,UMA SHANKAR,BSP,0,Post Graduate,53,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4309
2004,UTTAR PRADESH,Ghazipur,16,YOGESH NATH KUSHAWAHA,RSMD,0,Post Graduate,37,"Rs 1,02,835 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4320
