Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,UTTAR PRADESH,Ghosi,6,CHANDRADEO PRASAD RAJBHAR,SP,0,Post Graduate,48,Not Available,Not Available,Yes
2004,UTTAR PRADESH,Ghosi,1,AKHLAQ AHMAD GULSHAN,PSJP,0,Others,36,"Rs 4,13,000 ~ 4 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,2,AKSHAY KUMAR RAJBHAR,SBSP,0,12th Pass,36,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,3,ATUL KUMAR SINGH ANJAN,CPI,0,Graduate Professional,49,Not Available,Not Available,No
2004,UTTAR PRADESH,Ghosi,4,BAL KRISHNA,BSP,0,Post Graduate,55,"Rs 16,20,771 ~ 16 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,5,BHARAT LAL RAHI KUSHWAHA,BJP,0,Not Given,48,"Rs 13,00,000 ~ 13 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,7,HARI LAL,IND,0,12th Pass,50,"Rs 3,61,000 ~ 3 Lacs+","Rs 60,000 ~ 60 Thou+",No
2004,UTTAR PRADESH,Ghosi,8,HEMANT KUMAR,BRPP,0,10th Pass,30,Nil,Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,9,HESHAMUDDIN,IND,0,Literate,63,Not Available,Not Available,No
2004,UTTAR PRADESH,Ghosi,10,KANHAIYA LAL,IND,0,10th Pass,37,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,11,KAUSHALENDRA,IND,1,12th Pass,30,"Rs 8,88,000 ~ 8 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,12,MUNNAR,ABHM,0,Graduate,68,Not Available,Not Available,No
2004,UTTAR PRADESH,Ghosi,13,PREM PRAKASH,ASP,0,12th Pass,34,Nil,Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,14,RAJENDRA KUMAR AGRAWAL,IND,0,Graduate,42,"Rs 10,36,000 ~ 10 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,15,RAM ASHISH,IND,0,8th Pass,41,Not Available,Not Available,No
2004,UTTAR PRADESH,Ghosi,16,RAM PRAKASH,IND,0,Graduate,32,"Rs 1,646 ~ 1 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,17,RAMESH,IND,0,5th Pass,30,Nil,Rs 0 ~,No
2004,UTTAR PRADESH,Ghosi,18,SIDDHARTH RAI,RJD,0,8th Pass,29,Not Available,Not Available,No
2004,UTTAR PRADESH,Ghosi,19,SUDHA RAI,INC,0,Post Graduate,49,"Rs 95,83,419 ~ 95 Lacs+",Rs 0 ~,No
