Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Hamirpur,10,RAJNARAYAN ALIAS RAJJU MAHRAJ,SP,0,Graduate Professional,40,"Rs 26,40,727 ~ 26 Lacs+","Rs 3,87,411 ~ 3 Lacs+",Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4370
2004,UTTAR PRADESH,Hamirpur,1,ASHOK,AD,0,8th Pass,42,"Rs 32,000 ~ 32 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4377
2004,UTTAR PRADESH,Hamirpur,2,ASHOK KUMAR SINGH CHANDEL,BSP,10,Graduate,44,"Rs 1,13,01,668 ~ 1 Crore+","Rs 2,04,973 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4371
2004,UTTAR PRADESH,Hamirpur,3,BALADIN,IND,0,8th Pass,35,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4381
2004,UTTAR PRADESH,Hamirpur,4,GANGACHARAN RAJPUT,INC,1,Post Graduate,42,"Rs 71,20,394 ~ 71 Lacs+","Rs 2,46,072 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4372
2004,UTTAR PRADESH,Hamirpur,5,GIRJACHARAN,IND,0,10th Pass,40,"Rs 98,63,749 ~ 98 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4384
2004,UTTAR PRADESH,Hamirpur,6,HARGOVIND,IND,0,10th Pass,38,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4374
2004,UTTAR PRADESH,Hamirpur,7,LAKHAN,IND,0,Not Given,36,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4376
2004,UTTAR PRADESH,Hamirpur,8,LALLU PRASAD,IND,1,10th Pass,35,"Rs 26,750 ~ 26 Thou+","Rs 6,500 ~ 6 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4379
2004,UTTAR PRADESH,Hamirpur,9,OM PRAKASH,IND,0,8th Pass,56,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4382
2004,UTTAR PRADESH,Hamirpur,11,RAKESH,IND,0,Graduate,32,"Rs 5,26,272 ~ 5 Lacs+","Rs 17,00,000 ~ 17 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4378
2004,UTTAR PRADESH,Hamirpur,12,RAM BIHARI,IND,0,10th Pass,36,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4383
2004,UTTAR PRADESH,Hamirpur,13,SURENDRA PAL SINGH,BJP,0,12th Pass,35,"Rs 4,73,803 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4373
2004,UTTAR PRADESH,Hamirpur,14,SURESH KUMAR,IND,0,Graduate Professional,40,"Rs 10,98,000 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4375
2004,UTTAR PRADESH,Hamirpur,15,YOGENDRA SINGH,IND,0,12th Pass,26,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4380
