Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,UTTAR PRADESH,Moradabad,6,DR. SHAFIQURRAHMAN BARQ,SP,0,Graduate,70,Not Available,Not Available,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4727
2004,UTTAR PRADESH,Moradabad,1,ASHA PAL,LP(S),0,10th Pass,35,"Rs 8,36,300 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4733
2004,UTTAR PRADESH,Moradabad,2,AZAM ANSARI,IND,0,5th Pass,27,"Rs 57,400 ~ 57 Thou+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4740
2004,UTTAR PRADESH,Moradabad,3,BRAHM DEV,IND,0,5th Pass,30,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4736
2004,UTTAR PRADESH,Moradabad,4,CHANDRA VIJAY SINGH URF BABY RAJA,BJP,0,Graduate,51,"Rs 4,26,17,219 ~ 4 Crore+","Rs 2,50,000 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4728
2004,UTTAR PRADESH,Moradabad,5,DR. MASOOD AHMAD,National Loktantrik Party,0,Doctorate,50,"Rs 12,00,052 ~ 12 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4730
2004,UTTAR PRADESH,Moradabad,7,FAEEM AKHTAR,IND,0,Literate,46,"Rs 59,98,003 ~ 59 Lacs+","Rs 50,862 ~ 50 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4737
2004,UTTAR PRADESH,Moradabad,8,Iftakar Mohammad Khan,BSP,0,Graduate,53,"Rs 59,98,303 ~ 59 Lacs+","Rs 11,50,020 ~ 11 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4729
2004,UTTAR PRADESH,Moradabad,9,JAY PRAKASH,IND,0,Graduate,25,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4739
2004,UTTAR PRADESH,Moradabad,10,MOHD. NASIR,INLD,0,Literate,31,"Rs 9,50,000 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4735
2004,UTTAR PRADESH,Moradabad,11,MOHD. SALIM,IND,0,Not Given,26,"Rs 13,33,000 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4732
2004,UTTAR PRADESH,Moradabad,12,NUTAN VIJAY,IND,0,Post Graduate,47,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4738
2004,UTTAR PRADESH,Moradabad,13,PARMESHWAR LAL,IND,0,Not Given,50,"Rs 25,58,777 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4731
2004,UTTAR PRADESH,Moradabad,14,RAJESH SAINI,SHS,4,8th Pass,40,"Rs 35,43,000 ~ 35 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=4734
