Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,UTTAR PRADESH,Shahjahanpur,6,KUNWAR JITIN PRASAD,INC,0,Post Graduate,30,Not Available,Not Available,Yes
2004,UTTAR PRADESH,Shahjahanpur,1,AHIVARAN LAL,IND,0,10th Pass,33,"Rs 2,20,000 ~ 2 Lacs+","Rs 2,600 ~ 2 Thou+",No
2004,UTTAR PRADESH,Shahjahanpur,2,AJAY PAL,PSJP,0,10th Pass,48,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,3,ASHOK,IND,0,10th Pass,29,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,4,DESH RAJ,IND,0,8th Pass,25,"Rs 30,150 ~ 30 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,5,DR. AMAR SINGH KUSHWAHA,IND,0,Doctorate,43,"Rs 6,25,000 ~ 6 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,7,MAHESH SAXENA,IND,1,8th Pass,43,"Rs 17,29,648 ~ 17 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,8,MUNESHWAR,IND,0,Literate,38,"Rs 2,87,500 ~ 2 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,9,PRAMOD,IND,0,12th Pass,43,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,10,RAJESH YADAV,IND,0,Graduate Professional,32,"Rs 12,02,000 ~ 12 Lacs+","Rs 66,200 ~ 66 Thou+",No
2004,UTTAR PRADESH,Shahjahanpur,11,RAKESH KUMAR,IND,0,Graduate Professional,30,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,12,RAM MURTI SINGH VERMA,SP,0,Graduate,55,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,13,RAM RAKCH PAL,LP(S),0,12th Pass,41,"Rs 6,17,018 ~ 6 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,14,RAM SEWAK,EKD(UP),0,Graduate,33,"Rs 1,500 ~ 1 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,15,RAMESH CHANDRA,RPI,0,Graduate Professional,32,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,16,SARNAM SINGH,IND,0,Not Given,50,"Rs 18,11,000 ~ 18 Lacs+","Rs 72,000 ~ 72 Thou+",No
2004,UTTAR PRADESH,Shahjahanpur,17,SATYA PAL,IND,0,Not Given,30,"Rs 56,000 ~ 56 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,18,SATYA PAL SINGH YADAV,BSP,0,Not Given,30,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,19,SHRI KRISHNA PATHAK,IND,1,Post Graduate,59,"Rs 15,95,503 ~ 15 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,20,SUMAT RANJAN,IND,0,Graduate Professional,29,Rs 267 ~ 2 Hund+,Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,21,SURENDRA NATH,IND,0,Graduate,38,Not Available,Not Available,No
2004,UTTAR PRADESH,Shahjahanpur,22,SURESH KUMAR KHANNA,BJP,0,Post Graduate,50,"Rs 21,73,447 ~ 21 Lacs+","Rs 1,66,985 ~ 1 Lacs+",No
2004,UTTAR PRADESH,Shahjahanpur,23,UDIT YADAV,IND,0,Graduate Professional,33,"Rs 6,76,000 ~ 6 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Shahjahanpur,24,VERENDRA,IND,0,5th Pass,34,Not Available,Not Available,No
