Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,UTTAR PRADESH,Varanasi,1,ANJANA PRAKASH,SP,1,Post Graduate,48,"Rs 36,71,073 ~ 36 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,2,ATAHAR JAMAL LARI,AD,0,Graduate,50,"Rs 13,05,202 ~ 13 Lacs+","Rs 12,596 ~ 12 Thou+",No
2004,UTTAR PRADESH,Varanasi,3,DEV RAJ,IND,0,Graduate,30,Not Available,Not Available,No
2004,UTTAR PRADESH,Varanasi,4,DINESH CHANDRA PANDEY,PMSP,0,Not Given,37,"Rs 6,37,000 ~ 6 Lacs+","Rs 4,000 ~ 4 Thou+",No
2004,UTTAR PRADESH,Varanasi,5,GANESH RAM,IND,0,Not Given,40,"Rs 6,31,000 ~ 6 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,6,KAMAL CHAND,GGP,0,Graduate,35,Not Available,Not Available,No
2004,UTTAR PRADESH,Varanasi,7,KANHAYA,SBSP,0,8th Pass,31,"Rs 89,000 ~ 89 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,8,KHAGENDRA NATH PANDEY,IND,0,Not Given,41,"Rs 10,093 ~ 10 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,9,LALJI RAM,PTSS,0,Post Graduate,45,Not Available,Not Available,No
2004,UTTAR PRADESH,Varanasi,10,NARENDRA NATH DUBEY ADIG,IND,6,Post Graduate,37,"Rs 18,69,773 ~ 18 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,11,RAM PRASAD BAVLA,IND,0,Literate,30,"Rs 85,000 ~ 85 Thou+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,12,RAMJI,IND,0,Literate,42,Not Available,Not Available,No
2004,UTTAR PRADESH,Varanasi,13,SHALENDRA KUMAR ALIAS (EX DY. S.P),IND,0,Post Graduate,37,"Rs 40,95,000 ~ 40 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2004,UTTAR PRADESH,Varanasi,14,SHANKAR PRASAD JAISWAL,BJP,0,10th Pass,66,"Rs 50,83,617 ~ 50 Lacs+",Rs 0 ~,No
2004,UTTAR PRADESH,Varanasi,15,SURESH SINGH ALIAS SURESH,IND,0,8th Pass,27,Not Available,Not Available,No
