Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2004,WEST BENGAL,Katwa,5,Mahboob Zahedi,CPM,0,10th Pass,72,"Rs 27,05,606 ~ 27 Lacs+","Rs 3,32,383 ~ 3 Lacs+",Yes
2004,WEST BENGAL,Katwa,1,Ahmed Sultan,AITC,0,Graduate,47,"Rs 34,10,196 ~ 34 Lacs+","Rs 48,45,009 ~ 48 Lacs+",No
2004,WEST BENGAL,Katwa,2,Bablu Chandra Das,IND,0,10th Pass,33,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,No
2004,WEST BENGAL,Katwa,3,Hossain Amjad,IND,0,Not Given,52,Not Available,Not Available,No
2004,WEST BENGAL,Katwa,4,Kailash Sharma,SP,0,Others,50,"Rs 13,51,542 ~ 13 Lacs+",Rs 0 ~,No
2004,WEST BENGAL,Katwa,6,Mohammad Zakaria,IND,0,Graduate,46,Not Available,Not Available,No
2004,WEST BENGAL,Katwa,7,Rina Mondal,IND,0,5th Pass,28,"Rs 1,50,770 ~ 1 Lacs+","Rs 90,000 ~ 90 Thou+",No
2004,WEST BENGAL,Katwa,8,Saifuddin Choudhury,PDS,0,Graduate,52,"Rs 12,52,940 ~ 12 Lacs+","Rs 18,50,000 ~ 18 Lacs+",No
2004,WEST BENGAL,Katwa,9,Salil Dutta,CPI(ML)(L),0,Not Given,44,Not Available,Not Available,No
2004,WEST BENGAL,Katwa,10,Shyamsundar Das,IND,0,12th Pass,46,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,No
2004,WEST BENGAL,Katwa,11,Susil Sarkar,BSP,0,Graduate,52,"Rs 17,75,265 ~ 17 Lacs+",Rs 0 ~,No
2004,WEST BENGAL,Katwa,12,Swapan Bhattacharya,SHS,1,Not Given,52,Not Available,Not Available,No
