Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,ANDHRA PRADESH,Amalapuram,5,G V Harsha Kumar,INC,1,Post Graduate,50,"Rs 72,89,000 ~ 72 Lacs+","Rs 10,14,298 ~ 10 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4684
2009,ANDHRA PRADESH,Amalapuram,1,AKUMARTHI SURYANARAYANA,Trilinga Praja Pragati Party,0,5th Pass,50,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4685
2009,ANDHRA PRADESH,Amalapuram,2,BHEEMARAO RAMJI MUTHABATHULA,PPOI,0,10th Pass,39,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4689
2009,ANDHRA PRADESH,Amalapuram,3,Doctor G Varalakshmi,TDP,0,Graduate Professional,51,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4683
2009,ANDHRA PRADESH,Amalapuram,4,G Sampada Rao,BSP,0,Graduate Professional,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4682
2009,ANDHRA PRADESH,Amalapuram,6,K Uma Maheswara Rao,BJP,0,Graduate Professional,65,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4681
2009,ANDHRA PRADESH,Amalapuram,7,KIRAN KUMAR BINEPE,PBHP,0,Not Given,43,"Rs 15,887 ~ 15 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4686
2009,ANDHRA PRADESH,Amalapuram,8,Masa Ramadasu,RDMP,0,Not Given,45,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4690
2009,ANDHRA PRADESH,Amalapuram,9,P V Chakravarthi,RPI(KH),0,Graduate Professional,54,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4687
2009,ANDHRA PRADESH,Amalapuram,10,Pothula Prameela Devi,PRAP,0,Graduate,55,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4688
2009,ANDHRA PRADESH,Amalapuram,11,Yalangi Ramesh,IND,0,Graduate Professional,45,"Rs 5,20,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4691
