Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,ANDHRA PRADESH,Rajahmundry,9,V Arun Kumar,INC,2,Graduate Professional,53,Not Available,Not Available,Yes
2009,ANDHRA PRADESH,Rajahmundry,1,Dr. Paladugu Chandramouli,LSP,0,Graduate Professional,69,"Rs 64,18,000 ~ 64 Lacs+","Rs 45,000 ~ 45 Thou+",No
2009,ANDHRA PRADESH,Rajahmundry,2,M Murali Mohan,TDP,0,12th Pass,68,"Rs 14,01,09,874 ~ 14 Crore+","Rs 35,54,215 ~ 35 Lacs+",No
2009,ANDHRA PRADESH,Rajahmundry,3,M Papi Reddy,Trilinga Praja Pragati Party,1,10th Pass,29,Not Available,Not Available,No
2009,ANDHRA PRADESH,Rajahmundry,4,M Ramakrishna Rao,IND,0,Graduate Professional,51,"Rs 10,00,630 ~ 10 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Rajahmundry,5,Meda Srinivas,RPC(S),8,Post Graduate,29,"Rs 51,24,000 ~ 51 Lacs+","Rs 48,000 ~ 48 Thou+",No
2009,ANDHRA PRADESH,Rajahmundry,6,P Ganeswara Rao,IND,0,Post Graduate,46,Not Available,Not Available,No
2009,ANDHRA PRADESH,Rajahmundry,7,S Subhalakshmi,IND,0,10th Pass,44,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2009,ANDHRA PRADESH,Rajahmundry,8,U V Krishnam Raju,PRAP,0,Not Given,69,"Rs 8,62,60,434 ~ 8 Crore+","Rs 2,14,28,701 ~ 2 Crore+",No
2009,ANDHRA PRADESH,Rajahmundry,10,V Koteswara Rao,BSP,0,Graduate Professional,43,"Rs 31,47,000 ~ 31 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Rajahmundry,11,V Nageswara Rao,IND,0,Graduate Professional,46,"Rs 1,90,27,716 ~ 1 Crore+","Rs 1,75,000 ~ 1 Lacs+",No
