Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,ANDHRA PRADESH,Secunderabad,3,ANJAN KUMAR YADAV,INC,0,12th Pass,47,Not Available,Not Available,Yes
2009,ANDHRA PRADESH,Secunderabad,1,Abdus Sattar Mujahed,MUL,0,Graduate,41,"Rs 11,39,000 ~ 11 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,2,Ambati Krishna Murthi,IND,0,Not Given,50,"Rs 2,35,000 ~ 2 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,4,B. DATTATREYA,BJP,0,Graduate,61,"Rs 7,92,80,671 ~ 7 Crore+","Rs 7,50,000 ~ 7 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,5,B. Gopala Krishna,IND,0,8th Pass,42,Nil,Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,6,Baber Ali Khan,IND,0,8th Pass,53,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,7,C.V.L NARASIMHA RAO,LSP,0,Graduate Professional,54,"Rs 33,70,000 ~ 33 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,8,Ch.Murahari,IND,0,Not Given,49,Nil,Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,9,Devi Das Rao Ghodke,IND,0,Not Given,63,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,10,Dr. D. SRAVAN KUMAR,PRAP,0,Doctorate,41,"Rs 58,96,000 ~ 58 Lacs+","Rs 65,313 ~ 65 Thou+",No
2009,ANDHRA PRADESH,Secunderabad,11,G. Rajaiah,IND,0,Graduate,48,"Rs 63,056 ~ 63 Thou+","Rs 35,271 ~ 35 Thou+",No
2009,ANDHRA PRADESH,Secunderabad,12,Indad Jah,ANC,0,Not Given,64,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,13,K. Srinivasa Chari,IND,0,Not Given,49,"Rs 25,000 ~ 25 Thou+","Rs 20,000 ~ 20 Thou+",No
2009,ANDHRA PRADESH,Secunderabad,14,Lellapalli Aseervadam,IND,0,Graduate,51,"Rs 13,00,000 ~ 13 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,15,M. Bhagya Matha,IND,0,10th Pass,38,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,16,M. Venkatesh,BSP,0,12th Pass,32,"Rs 24,70,000 ~ 24 Lacs+","Rs 7,45,000 ~ 7 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,17,MD. ALI,TRS,0,Graduate,55,"Rs 1,31,05,000 ~ 1 Crore+","Rs 4,60,990 ~ 4 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,18,MD. Osman Qureshee,Ajeya Bharat Party,0,5th Pass,35,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,19,P.Damodar Reddy,PPOI,0,10th Pass,49,"Rs 1,05,95,000 ~ 1 Crore+",Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,20,Polishetty Ram Mohan,Samata Party,0,Graduate Professional,57,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Secunderabad,21,S.Devaiah,TNPP,0,Graduate,59,Not Available,Not Available,No
2009,ANDHRA PRADESH,Secunderabad,22,Shiraz Khan,UWF,0,12th Pass,39,"Rs 85,000 ~ 85 Thou+","Rs 1,10,000 ~ 1 Lacs+",No
2009,ANDHRA PRADESH,Secunderabad,23,Srinivasa Sudhish Rambhotla,TDP,0,Graduate Professional,40,"Rs 17,88,33,380 ~ 17 Crore+",Rs 0 ~,No
