Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,ANDHRA PRADESH,Visakhapatnam,6,D. PURANDARESHWARI,INC,0,Graduate,49,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=580
2009,ANDHRA PRADESH,Visakhapatnam,1,Apparao Golagana,IND,0,Graduate Professional,46,"Rs 77,50,000 ~ 77 Lacs+","Rs 5,25,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1134
2009,ANDHRA PRADESH,Visakhapatnam,2,Bandam Venkat Rao,IND,0,Graduate,32,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1135
2009,ANDHRA PRADESH,Visakhapatnam,3,Bethala Kegiya Rani,BSP(AP),0,5th Pass,26,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1130
2009,ANDHRA PRADESH,Visakhapatnam,4,D Bharathi,PPOI,0,Graduate,53,"Rs 31,40,000 ~ 31 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1131
2009,ANDHRA PRADESH,Visakhapatnam,5,D V Ramana,TNPP,0,Not Given,37,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1132
2009,ANDHRA PRADESH,Visakhapatnam,7,D.V. SUBBA RAO,BJP,0,Graduate Professional,76,"Rs 2,56,60,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=583
2009,ANDHRA PRADESH,Visakhapatnam,8,I M Ahmed,BSP,0,Graduate Professional,41,"Rs 57,93,700 ~ 57 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1129
2009,ANDHRA PRADESH,Visakhapatnam,9,M.T. VENKATESHWARA RAO,LSP,0,Graduate Professional,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=584
2009,ANDHRA PRADESH,Visakhapatnam,10,Ramesh Lanka,BSSP,0,Not Given,49,"Rs 92,70,000 ~ 92 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1133
2009,ANDHRA PRADESH,Visakhapatnam,11,Rangaraju Kalidindi,IND,0,5th Pass,46,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1137
2009,ANDHRA PRADESH,Visakhapatnam,12,Yaddanapudi Ranga Rao,IND,0,Doctorate,78,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1136
2009,ANDHRA PRADESH,Visakhapatnam,13,Yalamanchili Prasad,IND,1,Graduate,54,"Rs 14,30,000 ~ 14 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=45
