Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,ANDHRA PRADESH,Warangal,12,Rajaiah Siricilla,INC,0,Graduate,55,Not Available,Not Available,Yes
2009,ANDHRA PRADESH,Warangal,1,Ballepu Venkat Narsinga Rao,LSP,0,Graduate,37,"Rs 5,48,200 ~ 5 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Warangal,2,D. Sreedhar Rao,IND,0,Post Graduate,37,"Rs 76,000 ~ 76 Thou+",Rs 0 ~,No
2009,ANDHRA PRADESH,Warangal,3,Damera Mogili,IND,0,10th Pass,36,Not Available,Not Available,No
2009,ANDHRA PRADESH,Warangal,4,Dommati Sambaiah,TDP,4,Graduate,45,"Rs 28,40,000 ~ 28 Lacs+","Rs 7,00,000 ~ 7 Lacs+",No
2009,ANDHRA PRADESH,Warangal,5,Dr. Chandragiri Rajamouli,PRAP,0,Graduate Professional,49,"Rs 1,41,60,000 ~ 1 Crore+","Rs 22,85,000 ~ 22 Lacs+",No
2009,ANDHRA PRADESH,Warangal,6,Dubasi Narsing,IND,0,Post Graduate,46,Not Available,Not Available,No
2009,ANDHRA PRADESH,Warangal,7,Kannam Venkanna,IND,0,Graduate,32,"Rs 1,90,000 ~ 1 Lacs+","Rs 80,000 ~ 80 Thou+",No
2009,ANDHRA PRADESH,Warangal,8,Krishnadhi Srilatha,IND,0,10th Pass,33,"Rs 1,11,787 ~ 1 Lacs+","Rs 1,53,000 ~ 1 Lacs+",No
2009,ANDHRA PRADESH,Warangal,9,Ontela Mondaiah,PPOI,0,Post Graduate,58,Not Available,Not Available,No
2009,ANDHRA PRADESH,Warangal,10,P.Lalaiah,BSP,0,Post Graduate,65,"Rs 23,52,327 ~ 23 Lacs+",Rs 0 ~,No
2009,ANDHRA PRADESH,Warangal,11,Pakala Devadanam,IND,0,8th Pass,74,"Rs 11,787 ~ 11 Thou+",Rs 0 ~,No
2009,ANDHRA PRADESH,Warangal,13,RAMAGALLA PARAMESHWAR,TRS,0,Graduate Professional,55,"Rs 23,35,000 ~ 23 Lacs+","Rs 4,50,000 ~ 4 Lacs+",No
2009,ANDHRA PRADESH,Warangal,14,Somaiah Ganapuram,IND,0,5th Pass,41,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,No
2009,ANDHRA PRADESH,Warangal,15,Vonteri Jaipal,BJP,0,Post Graduate,63,Not Available,Not Available,No
