Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,BIHAR,Gaya,4,Hari Manjhi,BJP,0,8th Pass,47,"Rs 14,71,374 ~ 14 Lacs+","Rs 3,89,075 ~ 3 Lacs+",Yes
2009,BIHAR,Gaya,1,Amar Nath Prasad,IND,0,Graduate,35,"Rs 13,02,900 ~ 13 Lacs+",Rs 0 ~,No
2009,BIHAR,Gaya,2,Deepak Paswan,IND,0,Graduate,27,"Rs 2,500 ~ 2 Thou+",Rs 0 ~,No
2009,BIHAR,Gaya,3,Dilip Paswan,NBNP,0,5th Pass,41,Not Available,Not Available,No
2009,BIHAR,Gaya,5,Kail Das,IND,1,Not Given,66,"Rs 3,55,000 ~ 3 Lacs+",Rs 0 ~,No
2009,BIHAR,Gaya,6,Kalawati Devi,BSP,0,Not Given,27,Not Available,Not Available,No
2009,BIHAR,Gaya,7,Krishna Chaudhary,IND,0,Literate,26,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,No
2009,BIHAR,Gaya,8,Niranjan Kumar,CPI(ML)(L),0,Graduate,42,"Rs 5,30,000 ~ 5 Lacs+",Rs 0 ~,No
2009,BIHAR,Gaya,9,Rajesh Kumar,LTSD,0,Post Graduate,27,Not Available,Not Available,No
2009,BIHAR,Gaya,10,Ram Kishore Paswan,IND,0,Doctorate,36,"Rs 50,500 ~ 50 Thou+",Rs 0 ~,No
2009,BIHAR,Gaya,11,Ramdev Arya Paan,Akhil Bharatiya Jan Sangh,0,Others,49,Nil,Rs 0 ~,No
2009,BIHAR,Gaya,12,Ramji Manjhi,RJD,0,Graduate,49,Not Available,Not Available,No
2009,BIHAR,Gaya,13,Ramu Paswan,IND,0,12th Pass,29,"Rs 3,75,300 ~ 3 Lacs+",Rs 0 ~,No
2009,BIHAR,Gaya,14,Sanjiv Prasad Toni,INC,1,10th Pass,52,"Rs 1,13,72,616 ~ 1 Crore+","Rs 17,175 ~ 17 Thou+",No
2009,BIHAR,Gaya,15,Shiv Shankar Kumar,IND,0,Graduate,33,Not Available,Not Available,No
2009,BIHAR,Gaya,16,Shyamlal Manjhi,IND,0,10th Pass,50,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
