Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,BIHAR,Maharajganj,12,Uma Shanaker Singh,RJD,2,10th Pass,61,Not Available,Not Available,Yes
2009,BIHAR,Maharajganj,1,Banke Bihari Singh,IND,0,12th Pass,35,"Rs 35,21,197 ~ 35 Lacs+",Rs 0 ~,No
2009,BIHAR,Maharajganj,2,Brinda Pathak,IND,0,Graduate,63,"Rs 23,10,000 ~ 23 Lacs+",Rs 0 ~,No
2009,BIHAR,Maharajganj,3,Dhurendra Ram,IND,0,8th Pass,47,Not Available,Not Available,No
2009,BIHAR,Maharajganj,4,Gautam Prasad,IND,0,12th Pass,30,"Rs 87,526 ~ 87 Thou+","Rs 3,21,803 ~ 3 Lacs+",No
2009,BIHAR,Maharajganj,5,Prabhunath Singh,JD(U),2,12th Pass,56,"Rs 44,47,753 ~ 44 Lacs+","Rs 3,90,606 ~ 3 Lacs+",No
2009,BIHAR,Maharajganj,6,Pradeep Manjhi,IND,0,5th Pass,32,Not Available,Not Available,No
2009,BIHAR,Maharajganj,7,Rabindra Nath Mishra,BSP,0,Post Graduate,54,"Rs 60,93,095 ~ 60 Lacs+","Rs 56,00,000 ~ 56 Lacs+",No
2009,BIHAR,Maharajganj,8,Rajesh Kumar Singh,IND,0,12th Pass,26,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No
2009,BIHAR,Maharajganj,9,RameshSinghKushwaha,LTSD,4,8th Pass,49,Not Available,Not Available,No
2009,BIHAR,Maharajganj,10,Satendra Kumar Sahani,CPI(ML)(L),0,Graduate,41,"Rs 18,47,500 ~ 18 Lacs+","Rs 2,08,500 ~ 2 Lacs+",No
2009,BIHAR,Maharajganj,11,Tarkeswar Singh,INC,7,Graduate,51,"Rs 43,86,101 ~ 43 Lacs+","Rs 8,03,889 ~ 8 Lacs+",No
