Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,BIHAR,Nawada,4,BholaSingh,BJP,0,Doctorate,70,"Rs 38,93,000 ~ 38 Lacs+","Rs 3,60,000 ~ 3 Lacs+",Yes
2009,BIHAR,Nawada,1,AKhilesh Singh,IND,27,10th Pass,38,"Rs 7,62,287 ~ 7 Lacs+",Rs 0 ~,No
2009,BIHAR,Nawada,2,AnilMehta,IND,12,Graduate,36,"Rs 49,31,596 ~ 49 Lacs+","Rs 2,62,669 ~ 2 Lacs+",No
2009,BIHAR,Nawada,3,BeenaDevi,LJP,0,8th Pass,36,Not Available,Not Available,No
2009,BIHAR,Nawada,5,ChanchalaDevi,IND,0,Literate,39,"Rs 1,10,050 ~ 1 Lacs+",Rs 0 ~,No
2009,BIHAR,Nawada,6,Durga Prasad Dhar,IND,0,12th Pass,29,Not Available,Not Available,No
2009,BIHAR,Nawada,7,Ganesh Shankar Vidyarthi,CPM,0,Graduate,45,"Rs 22,13,057 ~ 22 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No
2009,BIHAR,Nawada,8,Kailash Pal,BSKP,0,12th Pass,48,"Rs 1,31,10,000 ~ 1 Crore+","Rs 2,60,052 ~ 2 Lacs+",No
2009,BIHAR,Nawada,9,Kaushal Yadav,IND,7,Post Graduate,39,Not Available,Not Available,No
2009,BIHAR,Nawada,10,Masih Udin,BSP,2,Graduate Professional,36,"Rs 76,00,000 ~ 76 Lacs+","Rs 30,000 ~ 30 Thou+",No
2009,BIHAR,Nawada,11,NavinKumar Verma,IND,0,Graduate,38,"Rs 1,47,435 ~ 1 Lacs+","Rs 18,000 ~ 18 Thou+",No
2009,BIHAR,Nawada,12,Raj Ballabh Prasad,IND,2,10th Pass,46,Not Available,Not Available,No
2009,BIHAR,Nawada,13,Rajendar Singh,IND,0,Not Given,60,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2009,BIHAR,Nawada,14,Rajendra Vishal,IND,0,8th Pass,44,"Rs 8,71,000 ~ 8 Lacs+",Rs 0 ~,No
2009,BIHAR,Nawada,15,RajKishore Raj,IND,0,Graduate,43,Not Available,Not Available,No
2009,BIHAR,Nawada,16,Shambhu Prasad,IND,6,10th Pass,41,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,No
2009,BIHAR,Nawada,17,Surendra Kumar Chaudhary,SBSP,0,Post Graduate,45,"Rs 9,00,000 ~ 9 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No
2009,BIHAR,Nawada,18,Umakant Rahi,Shoshit Samaj Dal,0,Post Graduate,37,Not Available,Not Available,No
2009,BIHAR,Nawada,19,Vidyapati Singh,LTSD,0,10th Pass,46,"Rs 89,71,857 ~ 89 Lacs+","Rs 29,86,423 ~ 29 Lacs+",No
