Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,BIHAR,Pataliputra,14,RANJAN PRASAD YADAV,JD(U),1,Doctorate,64,"Rs 1,53,19,000 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7780
2009,BIHAR,Pataliputra,1,AWADHESH SHARMA,IND,0,Not Given,51,"Rs 8,56,000 ~ 8 Lacs+","Rs 2,75,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7792
2009,BIHAR,Pataliputra,2,DR. KRISHNADHAR SINGH,BJKD,0,Doctorate,56,"Rs 39,64,000 ~ 39 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7785
2009,BIHAR,Pataliputra,3,DURGESH NANDAN SINGH,IND,0,Graduate Professional,25,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7793
2009,BIHAR,Pataliputra,4,HARENDRA KUMAR PATEL,BSP,0,10th Pass,49,"Rs 52,03,000 ~ 52 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7782
2009,BIHAR,Pataliputra,5,HASAN MANZOOR HASHMI,ANC,3,10th Pass,70,"Rs 44,000 ~ 44 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7791
2009,BIHAR,Pataliputra,6,KIRAN DEVI,RKJP,0,Not Given,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7783
2009,BIHAR,Pataliputra,7,KUNDAN KUMAR,RWS,0,12th Pass,26,"Rs 5,22,600 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7784
2009,BIHAR,Pataliputra,8,LALU PRASAD,RJD,7,Graduate Professional,60,"Rs 3,20,94,746 ~ 3 Crore+","Rs 16,26,689 ~ 16 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7779
2009,BIHAR,Pataliputra,9,MOHAMMAD AFTAB ALAM,LTSD,1,Graduate,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7788
2009,BIHAR,Pataliputra,10,MOHAMMAD SADRUDDIN,AIFB,0,8th Pass,41,"Rs 19,86,879 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7789
2009,BIHAR,Pataliputra,11,PANCHA DEVI,JGP,0,Literate,42,"Rs 1,50,000 ~ 1 Lacs+","Rs 24,888 ~ 24 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7786
2009,BIHAR,Pataliputra,12,PRABHUNATH YADAV,IJP,0,Graduate,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7787
2009,BIHAR,Pataliputra,13,RAMESHWAR PRASAD,CPI(ML)(L),5,8th Pass,61,"Rs 10,33,677 ~ 10 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7790
2009,BIHAR,Pataliputra,15,SUNIL KUMAR SINGH,IND,0,Post Graduate,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7794
2009,BIHAR,Pataliputra,16,VIJAY SINGH YADAV,INC,0,12th Pass,55,"Rs 4,55,44,336 ~ 4 Crore+","Rs 16,33,744 ~ 16 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7781
