Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,BIHAR,Siwan,8,OmPrakashYadav,IND,1,Graduate,43,"Rs 30,32,500 ~ 30 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=890
2009,BIHAR,Siwan,1,AmarNathYadav,CPI(ML)(L),8,Literate,44,"Rs 4,71,240 ~ 4 Lacs+","Rs 89,897 ~ 89 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=881
2009,BIHAR,Siwan,2,Aswani K r. Verma,IJP,0,Others,28,"Rs 3,95,000 ~ 3 Lacs+","Rs 28,000 ~ 28 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=882
2009,BIHAR,Siwan,3,Dr.Muneshwar Prasad,IND,0,12th Pass,68,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=884
2009,BIHAR,Siwan,4,HenaShahab,RJD,1,Graduate,36,"Rs 2,02,19,931 ~ 2 Crore+","Rs 2,93,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=885
2009,BIHAR,Siwan,5,Lal BabuTiwari,RKSP,0,Not Given,55,"Rs 4,25,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=886
2009,BIHAR,Siwan,6,Madhuri Panday,SJTP,0,Not Given,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=888
2009,BIHAR,Siwan,7,Nidhi Kirti,IND,0,Graduate,26,"Rs 42,500 ~ 42 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=889
2009,BIHAR,Siwan,9,Prabhu Nath Mali,IND,0,Post Graduate,26,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=892
2009,BIHAR,Siwan,10,Rajendra Kumar,IND,0,Graduate,36,"Rs 17,66,000 ~ 17 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=893
2009,BIHAR,Siwan,11,Shambhu Nath Prasad,IND,0,Not Given,60,"Rs 8,32,500 ~ 8 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=894
2009,BIHAR,Siwan,12,Umesh Tiwary,IND,0,12th Pass,30,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=896
2009,BIHAR,Siwan,13,VijayShankerDubey,INC,1,Graduate,60,"Rs 61,40,072 ~ 61 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=897
