Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,CHHATTISGARH,Mahasamund,4,Chandulal Sahu (Chandu Bhaiya),BJP,0,Graduate Professional,49,"Rs 68,05,000 ~ 68 Lacs+","Rs 13,00,000 ~ 13 Lacs+",Yes
2009,CHHATTISGARH,Mahasamund,1,Bauddh Kumar Kaushik,CGVP,0,Others,37,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,CHHATTISGARH,Mahasamund,2,Bharat Diwan,IND,0,12th Pass,29,Nil,Rs 0 ~,No
2009,CHHATTISGARH,Mahasamund,3,Champa Lal Patel,IND,0,Not Given,43,Not Available,Not Available,No
2009,CHHATTISGARH,Mahasamund,5,Dr Lata Markam,RPI(A),0,8th Pass,26,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
2009,CHHATTISGARH,Mahasamund,6,Dr. Anand Matwale (Guruji),LB,0,Graduate,38,Not Available,Not Available,No
2009,CHHATTISGARH,Mahasamund,7,Khedhubharti (Satyesh),IND,0,Post Graduate,33,"Rs 2,16,788 ~ 2 Lacs+","Rs 46,000 ~ 46 Thou+",No
2009,CHHATTISGARH,Mahasamund,8,Kiran Kumar Dhruv,JMM,0,10th Pass,44,"Rs 18,75,000 ~ 18 Lacs+","Rs 60,000 ~ 60 Thou+",No
2009,CHHATTISGARH,Mahasamund,9,Moti Lal Choudhary,BSP,0,10th Pass,44,Not Available,Not Available,No
2009,CHHATTISGARH,Mahasamund,10,Narayan Das Inqalab Gandhi,IND,0,Graduate Professional,63,"Rs 21,70,000 ~ 21 Lacs+",Rs 0 ~,No
2009,CHHATTISGARH,Mahasamund,11,Narendra Bhishmdev Dhidhi,IND,0,Graduate Professional,34,"Rs 24,82,000 ~ 24 Lacs+",Rs 0 ~,No
2009,CHHATTISGARH,Mahasamund,12,Ramprasad Chauhan,IND,0,Literate,46,Not Available,Not Available,No
2009,CHHATTISGARH,Mahasamund,13,Shridhar Chandrakar,AD,0,Post Graduate,40,"Rs 7,81,000 ~ 7 Lacs+",Rs 0 ~,No
