Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,CHHATTISGARH,Raipur,20,Ramesh Bais,BJP,0,12th Pass,61,"Rs 2,24,76,391 ~ 2 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=124
2009,CHHATTISGARH,Raipur,1,Arun Harpal,IND,0,5th Pass,35,"Rs 2,70,700 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=422
2009,CHHATTISGARH,Raipur,2,Ashok Tamrakar,JCGP,0,Others,56,"Rs 50,66,096 ~ 50 Lacs+","Rs 1,712 ~ 1 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=113
2009,CHHATTISGARH,Raipur,3,Bharat Bhushan Pandey,IND,2,12th Pass,45,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=114
2009,CHHATTISGARH,Raipur,4,Haidar Bhati,IND,0,8th Pass,38,"Rs 28,73,000 ~ 28 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=423
2009,CHHATTISGARH,Raipur,5,Hargun Meghwani,Akhil Bhartiya Sindhu Samajwadi Party,0,Graduate,56,"Rs 17,25,893 ~ 17 Lacs+",Rs 706 ~ 7 Hund+,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=116
2009,CHHATTISGARH,Raipur,6,Imrran Pasha,Loktantrik Samajwadi Party,0,Graduate,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=424
2009,CHHATTISGARH,Raipur,7,"JAFAR HUSSAIN, BABABHAI (PURVA MUTVALLI)",IND,0,Literate,57,"Rs 7,36,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=425
2009,CHHATTISGARH,Raipur,8,Madhusudan Mishra,ABHM,1,Graduate,49,"Rs 50,64,500 ~ 50 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=117
2009,CHHATTISGARH,Raipur,9,Mathura Prasad Tandon,IND,0,5th Pass,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=426
2009,CHHATTISGARH,Raipur,10,Mohd. Jilani alias Tani,IND,0,5th Pass,30,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=118
2009,CHHATTISGARH,Raipur,11,Nanda Kishor Deep,IND,0,Graduate,48,"Rs 43,85,500 ~ 43 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=119
2009,CHHATTISGARH,Raipur,12,Narad Nishad,IND,0,Not Given,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=120
2009,CHHATTISGARH,Raipur,13,Naresh BhishmdevDhidhi,IND,0,Graduate Professional,31,"Rs 7,95,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=121
2009,CHHATTISGARH,Raipur,14,Navin Gupta,IND,0,12th Pass,35,"Rs 92,69,334 ~ 92 Lacs+","Rs 2,86,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=427
2009,CHHATTISGARH,Raipur,15,P R Khunte,CGVP,0,Others,54,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=123
2009,CHHATTISGARH,Raipur,16,Praveen Jain,IND,0,10th Pass,44,"Rs 1,21,03,747 ~ 1 Crore+","Rs 44,05,000 ~ 44 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=122
2009,CHHATTISGARH,Raipur,17,Rajendra Kumar Sahu,IND,0,Graduate Professional,38,"Rs 2,00,51,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=429
2009,CHHATTISGARH,Raipur,18,Rajesh Singh Thakur (Advocate),IND,0,Post Graduate,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=430
