Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,CHHATTISGARH,Rajnandgaon,10,Madhusudan Yadav,BJP,1,12th Pass,38,"Rs 11,65,680 ~ 11 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=105
2009,CHHATTISGARH,Rajnandgaon,1,Ajay Jaiswal,IND,1,8th Pass,35,"Rs 15,02,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=492
2009,CHHATTISGARH,Rajnandgaon,2,Ajay Pali,IND,0,5th Pass,32,"Rs 1,30,000 ~ 1 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=106
2009,CHHATTISGARH,Rajnandgaon,3,Bhag Chanda Vaidhya,IND,0,Doctorate,48,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=495
2009,CHHATTISGARH,Rajnandgaon,4,D.R.Yadav Pracharya,IND,0,Post Graduate,66,"Rs 8,75,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1588
2009,CHHATTISGARH,Rajnandgaon,5,Derha Ram Lodhi,IND,0,Graduate,37,"Rs 4,45,000 ~ 4 Lacs+","Rs 75,000 ~ 75 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=101
2009,CHHATTISGARH,Rajnandgaon,6,Dilip Rathod Sampadak,IND,0,Others,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=490
2009,CHHATTISGARH,Rajnandgaon,7,Gangaram Nishad,EKSP,0,Not Given,48,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=497
2009,CHHATTISGARH,Rajnandgaon,8,Jalal Mohammad Qureshi,IND,0,10th Pass,45,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=103
2009,CHHATTISGARH,Rajnandgaon,9,Madan Yadav,IND,0,Not Given,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=500
2009,CHHATTISGARH,Rajnandgaon,11,Mangaldas Bangare,IND,0,Others,52,"Rs 21,25,000 ~ 21 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=502
2009,CHHATTISGARH,Rajnandgaon,12,Narad Khothaliya,CGVP,0,5th Pass,48,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=501
2009,CHHATTISGARH,Rajnandgaon,13,Praduman Netam,BSP,0,Not Given,32,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=498
