Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,GUJARAT,Bharuch,7,MANSUKHBHAI DHANJIBHAI VASAVA,BJP,0,Graduate,52,"Rs 24,41,000 ~ 24 Lacs+","Rs 8,33,462 ~ 8 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=2217
2009,GUJARAT,Bharuch,1,BALVANTSINH VIJAYSINH PARMAR,NCP,0,Literate,53,"Rs 1,14,17,000 ~ 1 Crore+","Rs 8,53,000 ~ 8 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4501
2009,GUJARAT,Bharuch,2,CHHOTUBHAI AMARSINHBHAI VASAVA,JD(U),13,10th Pass,62,"Rs 35,70,000 ~ 35 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4507
2009,GUJARAT,Bharuch,3,DILIPKUMAR GULSING VASAVA,IND,0,12th Pass,32,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2216
2009,GUJARAT,Bharuch,4,HEMANTKUMAR JERAMBHAI GOHIL,IND,1,Literate,31,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4494
2009,GUJARAT,Bharuch,5,KANAKSINH MOHANSING MANGROLA,SP,4,Graduate,58,"Rs 3,67,25,000 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4497
2009,GUJARAT,Bharuch,6,MAHIPATBHAI MAGANBHAI LAD,IND,0,10th Pass,53,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4495
2009,GUJARAT,Bharuch,8,MEHRUNISSA VALIBHAI PATEL,LJP,0,Not Given,40,"Rs 38,40,000 ~ 38 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2222
2009,GUJARAT,Bharuch,9,NARENDRASINH RANDHIRSINH VASHI,Loktantrik Samajwadi Party,0,10th Pass,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4499
2009,GUJARAT,Bharuch,10,NARESHKUMAR BHAGVANBHAI PATEL,MJP,0,Graduate,48,"Rs 2,81,73,444 ~ 2 Crore+","Rs 1,37,588 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4502
2009,GUJARAT,Bharuch,11,SANATKUMAR RAJARAM PANDEY,BSP,0,Literate,32,"Rs 15,57,799 ~ 15 Lacs+","Rs 3,90,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4500
2009,GUJARAT,Bharuch,12,SHAKILAHEMAD GULAM MURTUZA LAKDAWALA,IND,1,10th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4496
2009,GUJARAT,Bharuch,13,SURESHBHAI GORDHANBHAI VASAVA,Akhil Bharatiya Jan Sangh,0,5th Pass,40,"Rs 6,19,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2221
2009,GUJARAT,Bharuch,14,THAKORBHAI CHANDULAL PATEL,IND,0,Graduate,58,"Rs 1,05,10,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4504
2009,GUJARAT,Bharuch,15,UMARJI AHMADBHAI UGHARADAR (AZIZ TANKARVI),INC,0,Graduate,64,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2220
