Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,GUJARAT,Bhavnagar,13,RAJENDRASINH GHANSHYAMSINH RANA,BJP,0,Graduate Professional,53,"Rs 55,08,711 ~ 55 Lacs+",Rs 0 ~,Yes
2009,GUJARAT,Bhavnagar,1,ATULBHAI HARSHADRAI PANDYA,BNJD,8,Graduate,46,"Rs 3,88,300 ~ 3 Lacs+","Rs 4,52,000 ~ 4 Lacs+",No
2009,GUJARAT,Bhavnagar,2,DEVJIBHAI MEGHABHAI DABHI,Samajwadi Janata Party (Rashtriya),0,Literate,29,"Rs 2,40,600 ~ 2 Lacs+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,3,DHIRUBHAI KARSANBHAI CHAUHAN,IND,0,Literate,39,Not Available,Not Available,No
2009,GUJARAT,Bhavnagar,4,DINESH NANUBHAI SAPARIA,LPSP,0,Graduate Professional,45,"Rs 1,13,700 ~ 1 Lacs+","Rs 15,000 ~ 15 Thou+",No
2009,GUJARAT,Bhavnagar,5,GORDHANBHAI PRAGJIBHAI ZADAPHIA,MJP,0,Post Graduate,54,"Rs 81,91,743 ~ 81 Lacs+","Rs 25,42,721 ~ 25 Lacs+",No
2009,GUJARAT,Bhavnagar,6,HARINBHAI RAMNIKBHAI MAKWANA,IND,0,Literate,37,Not Available,Not Available,No
2009,GUJARAT,Bhavnagar,7,MAHAVIRSINH BHAGIRATHSINH GOHIL,INC,1,Graduate,52,"Rs 1,07,88,757 ~ 1 Crore+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,8,MEPABHAI MAVJIBHAI CHUDASAMA,IND,0,Literate,42,"Rs 1,77,500 ~ 1 Lacs+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,9,MOHHAMADRAFIK IBRAHIMBHAI SOLANKI,IND,0,5th Pass,50,Not Available,Not Available,No
2009,GUJARAT,Bhavnagar,10,MUKESHBHAI MAGANBHAI PUNANI,IND,0,Literate,43,"Rs 3,506 ~ 3 Thou+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,11,NANJIBHAI MADHABHAI GOHIL,RPI(A),3,Literate,38,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,12,NARESHBHAI NANJIBHAI SONANI,IND,0,Literate,36,Not Available,Not Available,No
2009,GUJARAT,Bhavnagar,14,TULSIBHAI RAMJIBHAI YADAV,SP,0,Graduate,67,"Rs 47,47,992 ~ 47 Lacs+",Rs 0 ~,No
2009,GUJARAT,Bhavnagar,15,VALJIBHAI BADHABHAI BORICHA,BSP,0,Graduate,51,Not Available,Not Available,No
2009,GUJARAT,Bhavnagar,16,ZINABHAI NAGJIBHAI KATARIA,IND,1,Not Given,49,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No
