Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,GUJARAT,Surendranagar,19,SOMABHAI GANDABHAI KOLIPATEL,INC,0,5th Pass,68,"Rs 1,86,18,718 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=2396
2009,GUJARAT,Surendranagar,1,ALTAFBHAI VALIBHAI KORADIA,IND,0,Illiterate,25,"Rs 8,58,650 ~ 8 Lacs+","Rs 4,42,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2390
2009,GUJARAT,Surendranagar,2,ASHOKKUMAR CHIMANLAL PATEL,IND,0,Graduate,54,"Rs 1,42,28,600 ~ 1 Crore+","Rs 2,01,316 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2542
2009,GUJARAT,Surendranagar,3,BACHUBHAI CHHAGANBHAI DHAVANIA,LPSP,0,Graduate,58,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2544
2009,GUJARAT,Surendranagar,4,BHAGVANBHAI MATHURBHAI JADAV,IND,0,Literate,56,"Rs 3,83,348 ~ 3 Lacs+","Rs 81,000 ~ 81 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2545
2009,GUJARAT,Surendranagar,5,BHARAT RAMNIKLAL MAKWANA,IND,0,Graduate,43,"Rs 12,70,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2152
2009,GUJARAT,Surendranagar,6,HARSURBHAI RAMBHAI RABA,IND,0,Not Given,63,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5791
2009,GUJARAT,Surendranagar,7,HITESHBHAI BHAGVANJIBHAI NAYAKPARA,IND,0,10th Pass,40,"Rs 25,85,000 ~ 25 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5788
2009,GUJARAT,Surendranagar,8,JAGRUTIBEN BABULAL GADA,MJP,0,12th Pass,39,"Rs 5,22,944 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2546
2009,GUJARAT,Surendranagar,9,KARSANBHAI JIVABHAI SOLANKI,IND,1,Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2547
2009,GUJARAT,Surendranagar,10,KHIMJIBHAI HARJIVANBHAI PATADIYA,KKJHS,1,10th Pass,53,"Rs 5,14,97,27,807 ~ 514 Crore+","Rs 56,62,000 ~ 56 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2548
2009,GUJARAT,Surendranagar,11,LALJIBHAI CHATURBHAI MER,BJP,2,Literate,53,"Rs 1,29,69,366 ~ 1 Crore+","Rs 9,70,000 ~ 9 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2154
2009,GUJARAT,Surendranagar,12,LALJIBHAI MOHANLAL SAVUKIYA,IND,0,Literate,50,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2549
2009,GUJARAT,Surendranagar,13,MAVJIBHAI KUKABHAI MER,IND,0,10th Pass,63,"Rs 25,88,000 ~ 25 Lacs+","Rs 46,758 ~ 46 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2550
2009,GUJARAT,Surendranagar,14,MEGHABHAI KALABHAI DELVADIYA,IND,0,Literate,51,"Rs 8,95,800 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5790
2009,GUJARAT,Surendranagar,15,MOHANBHAI DAHYABHAI PATEL,BSP,0,Not Given,56,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2392
2009,GUJARAT,Surendranagar,16,MOHANBHAI TULSIBHAI DABHI,IND,0,Post Graduate,63,"Rs 26,85,000 ~ 26 Lacs+","Rs 51,903 ~ 51 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5789
2009,GUJARAT,Surendranagar,17,NARANBHAI KEHARBHAI BHATIA,IND,0,Literate,45,"Rs 15,45,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2151
2009,GUJARAT,Surendranagar,18,SATUBHA KANUBHA VAGHELA,Akhil Bharatiya Jan Sangh,0,12th Pass,75,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2395
2009,GUJARAT,Surendranagar,20,UKABHAI AMRABHAI MAKWANA,IND,0,Post Graduate,40,"Rs 2,69,932 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2551
