Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,HARYANA,Bhiwani_Mahendragarh,24,SHRUTI CHOUDHRY,INC,0,Graduate Professional,33,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=6669
2009,HARYANA,Bhiwani_Mahendragarh,1,ABHAY SINGH,IND,0,10th Pass,51,"Rs 55,000 ~ 55 Thou+","Rs 21,950 ~ 21 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6691
2009,HARYANA,Bhiwani_Mahendragarh,2,AJAY SINGH,IND,0,Graduate,43,"Rs 83,355 ~ 83 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6693
2009,HARYANA,Bhiwani_Mahendragarh,3,AJAY SINGH CHAUTALA,INLD,1,Post Graduate,44,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6672
2009,HARYANA,Bhiwani_Mahendragarh,4,ANIL KAUSHIK,NCP,1,Post Graduate,45,"Rs 3,31,71,991 ~ 3 Crore+","Rs 1,70,184 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6683
2009,HARYANA,Bhiwani_Mahendragarh,5,BIRENDER SINGH,IND,0,Graduate,27,"Rs 5,90,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6677
2009,HARYANA,Bhiwani_Mahendragarh,6,DHARMENDER SINGH,IND,0,12th Pass,47,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6690
2009,HARYANA,Bhiwani_Mahendragarh,7,DR PURANMAL SHARMA,IND,0,10th Pass,73,"Rs 32,88,000 ~ 32 Lacs+","Rs 3,60,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6668
2009,HARYANA,Bhiwani_Mahendragarh,8,ER MAHABIR SINGH YADAV,IND,0,Graduate,50,"Rs 55,68,810 ~ 55 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6673
2009,HARYANA,Bhiwani_Mahendragarh,9,HANSRAJ,RPI,0,12th Pass,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6665
2009,HARYANA,Bhiwani_Mahendragarh,10,HARISH KUMAR,IND,0,10th Pass,35,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6684
2009,HARYANA,Bhiwani_Mahendragarh,11,JAI SINGH,IJP,0,8th Pass,39,"Rs 1,70,000 ~ 1 Lacs+","Rs 32,000 ~ 32 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6685
2009,HARYANA,Bhiwani_Mahendragarh,12,JAIMAL SINGH,IND,0,8th Pass,65,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6681
2009,HARYANA,Bhiwani_Mahendragarh,13,LAXMI NARAYAN ASEEJA,IND,0,Illiterate,40,"Rs 1,78,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6671
2009,HARYANA,Bhiwani_Mahendragarh,14,MAHENDER SINGH,BHBP,1,8th Pass,30,"Rs 10,80,000 ~ 10 Lacs+","Rs 66,000 ~ 66 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6686
