Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,HARYANA,Sirsa,1,ASHOK TANWAR,INC,2,Post Graduate,33,"Rs 2,36,64,959 ~ 2 Crore+",Rs 0 ~,Yes
2009,HARYANA,Sirsa,2,DESRAJ,IND,0,Not Given,53,"Rs 1,16,000 ~ 1 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,3,HANS RAJ,RPI,0,12th Pass,37,Not Available,Not Available,No
2009,HARYANA,Sirsa,4,JAIBIR SINGH,IND,0,Graduate,26,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,5,NARENDER PAL,IND,0,12th Pass,41,"Rs 3,61,600 ~ 3 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,6,PAWAN KUMAR,IND,0,10th Pass,39,Not Available,Not Available,No
2009,HARYANA,Sirsa,7,PUSHPA RANI,IND,0,12th Pass,39,"Rs 44,05,000 ~ 44 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,8,RAJENDRA PRASAD,HJC(BL),0,Graduate Professional,43,"Rs 1,51,97,445 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+",No
2009,HARYANA,Sirsa,9,RAJESH KUMAR,BSP,0,Post Graduate,35,Not Available,Not Available,No
2009,HARYANA,Sirsa,10,RAJKUMAR,JKNPP,0,Graduate,38,"Rs 12,00,000 ~ 12 Lacs+","Rs 90,000 ~ 90 Thou+",No
2009,HARYANA,Sirsa,11,RAM KUMAR,CPM,0,12th Pass,41,"Rs 4,24,000 ~ 4 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,12,SHANKAR LAL,IND,0,5th Pass,54,Not Available,Not Available,No
2009,HARYANA,Sirsa,13,SITA RAM,INLD,0,Graduate Professional,41,"Rs 1,76,09,841 ~ 1 Crore+","Rs 29,00,000 ~ 29 Lacs+",No
2009,HARYANA,Sirsa,14,SWARN SINGH,RASJP,0,10th Pass,37,"Rs 54,71,026 ~ 54 Lacs+",Rs 0 ~,No
2009,HARYANA,Sirsa,15,VAZIR SINGH,IND,0,Post Graduate,41,Not Available,Not Available,No
