Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,HIMACHAL PRADESH,Kangra,4,DR. RAJAN SUSHANT,BJP,0,Graduate Professional,53,"Rs 1,10,24,873 ~ 1 Crore+","Rs 24,88,285 ~ 24 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7819
2009,HIMACHAL PRADESH,Kangra,1,CHANDER KUMAR,INC,0,Post Graduate,65,"Rs 1,10,71,942 ~ 1 Crore+","Rs 13,27,212 ~ 13 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7817
2009,HIMACHAL PRADESH,Kangra,2,COL.NARINDER SINGH PATHANIA,BSP,0,Graduate Professional,56,"Rs 36,81,500 ~ 36 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7818
2009,HIMACHAL PRADESH,Kangra,3,DHANI RAM,IND,0,Literate,73,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7824
2009,HIMACHAL PRADESH,Kangra,5,JOGINDER SINGH,SHS,0,10th Pass,46,"Rs 27,11,601 ~ 27 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7821
2009,HIMACHAL PRADESH,Kangra,6,KAPIL KUMAR CHAUDHARY,IND,0,Post Graduate,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7823
2009,HIMACHAL PRADESH,Kangra,7,KESHAB,LJP,0,12th Pass,53,"Rs 4,23,91,500 ~ 4 Crore+","Rs 1,25,00,000 ~ 1 Crore+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7820
2009,HIMACHAL PRADESH,Kangra,8,NIRMLA SHARMA,RWS,0,10th Pass,54,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7822
2009,HIMACHAL PRADESH,Kangra,9,PARTAP SINGH,IND,0,8th Pass,59,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7825
2009,HIMACHAL PRADESH,Kangra,10,ROSHAN LAL,IND,0,Graduate,55,"Rs 31,34,000 ~ 31 Lacs+","Rs 24,00,000 ~ 24 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7826
