Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,JHARKHAND,Godda,11,NISHIKANT DUBEY,BJP,0,Post Graduate,37,"Rs 10,10,37,987 ~ 10 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4194
2009,JHARKHAND,Godda,1,ASHOK SHARMA,Jharkhand Party,0,Others,32,"Rs 3,92,000 ~ 3 Lacs+","Rs 14,800 ~ 14 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4196
2009,JHARKHAND,Godda,2,BINOD MEHARIA,BSA,1,10th Pass,56,"Rs 32,84,017 ~ 32 Lacs+","Rs 7,000 ~ 7 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4204
2009,JHARKHAND,Godda,3,DURGA SOREN,JMM,2,Graduate,39,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4193
2009,JHARKHAND,Godda,4,FURKAN ANSARI,INC,2,Graduate,61,"Rs 40,52,000 ~ 40 Lacs+","Rs 3,143 ~ 3 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4195
2009,JHARKHAND,Godda,5,GEETA MANDAL,CPI(ML)(L),1,Not Given,39,"Rs 1,15,251 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4197
2009,JHARKHAND,Godda,6,GOVIND LAL MARANDI,RSP,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4198
2009,JHARKHAND,Godda,7,IQBAL DURRANI,BSP,0,Graduate,50,"Rs 25,65,751 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4192
2009,JHARKHAND,Godda,8,JAWAHAR LAL YADAV,LJP,0,8th Pass,31,"Rs 10,24,074 ~ 10 Lacs+","Rs 27,500 ~ 27 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4199
2009,JHARKHAND,Godda,9,NANDLAL YADAV,SP,1,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4200
2009,JHARKHAND,Godda,10,NIRANJAN PRASAD YADAV,RWS,0,Post Graduate,33,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4201
2009,JHARKHAND,Godda,12,PRADEEP YADAV,JVM(P),2,Graduate,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4202
2009,JHARKHAND,Godda,13,PRADEEP YADAV,Samata Party,0,12th Pass,25,"Rs 6,875 ~ 6 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4203
2009,JHARKHAND,Godda,14,RAJ NARAYAN KHAWADE,AJSU Party,5,10th Pass,42,"Rs 1,92,93,268 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4205
2009,JHARKHAND,Godda,15,SANTOSH KUMAR RAY,AITC,0,Graduate,26,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4206
2009,JHARKHAND,Godda,16,SHANKAR PRASAD KESHARI,IND,0,5th Pass,39,"Rs 27,000 ~ 27 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4213
2009,JHARKHAND,Godda,17,SURAJ MANDAL,JVD,0,Doctorate,61,"Rs 32,67,740 ~ 32 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4207
