Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,KARNATAKA,Bangalore_Rural,7,H D KUMARA SWAMY,JD(S),3,Graduate,50,"Rs 49,16,83,477 ~ 49 Crore+","Rs 33,62,37,223 ~ 33 Crore+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=2047
2009,KARNATAKA,Bangalore_Rural,1,AGNISHREENIVAS.Y.E,IND,0,Graduate,30,"Rs 1,05,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1605
2009,KARNATAKA,Bangalore_Rural,2,C P Yogeeshwra,BJP,4,Graduate,45,"Rs 9,03,20,150 ~ 9 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=626
2009,KARNATAKA,Bangalore_Rural,3,C.KUMARASWAMY,IND,0,Graduate,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1610
2009,KARNATAKA,Bangalore_Rural,4,C.THOPAIAH,JD(U),0,5th Pass,56,"Rs 7,47,000 ~ 7 Lacs+","Rs 3,000 ~ 3 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1608
2009,KARNATAKA,Bangalore_Rural,5,D.KUMARASWAMY,IND,1,8th Pass,43,"Rs 62,000 ~ 62 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1609
2009,KARNATAKA,Bangalore_Rural,6,Dr. K.PADMARAJAN,IND,0,Post Graduate,50,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1611
2009,KARNATAKA,Bangalore_Rural,8,K.PUTTAMADEGOWDA,IND,0,10th Pass,40,"Rs 3,95,600 ~ 3 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6423
2009,KARNATAKA,Bangalore_Rural,9,KRISHNAPPA,IND,1,10th Pass,46,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1161
2009,KARNATAKA,Bangalore_Rural,10,Mohamed Hafeez Ullah,BSP,0,Graduate,54,"Rs 14,07,000 ~ 14 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=793
2009,KARNATAKA,Bangalore_Rural,11,T.M.MANCHEGOWDA,IND,0,5th Pass,60,"Rs 1,10,937 ~ 1 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6422
2009,KARNATAKA,Bangalore_Rural,12,TEJASVINI GOWDA,INC,1,Doctorate,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1160
2009,KARNATAKA,Bangalore_Rural,13,Y.Chinnapa,IND,0,Graduate,33,"Rs 16,00,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1620
