Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,KARNATAKA,Dakshina_Kannada,9,Nalin Kumar Kateel,BJP,1,10th Pass,42,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4638
2009,KARNATAKA,Dakshina_Kannada,1,Ananda Gatty,IND,0,Graduate Professional,59,"Rs 13,97,499 ~ 13 Lacs+","Rs 1,07,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4631
2009,KARNATAKA,Dakshina_Kannada,2,Dr Thirumala Raya Halemane,IND,0,Post Graduate,55,"Rs 3,99,15,000 ~ 3 Crore+","Rs 1,24,20,000 ~ 1 Crore+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4635
2009,KARNATAKA,Dakshina_Kannada,3,Dr U.P.Shivananda,IND,4,Graduate Professional,59,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4636
2009,KARNATAKA,Dakshina_Kannada,4,Girish A.Rai,BSP,0,Post Graduate,47,"Rs 5,18,99,000 ~ 5 Crore+","Rs 17,59,457 ~ 17 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4606
2009,KARNATAKA,Dakshina_Kannada,5,Janardhana Poojary,INC,1,Graduate Professional,71,"Rs 38,02,578 ~ 38 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4607
2009,KARNATAKA,Dakshina_Kannada,6,K RAMA BHAT URIMAJALU,IND,0,Graduate,78,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5910
2009,KARNATAKA,Dakshina_Kannada,7,Madhava B.,CPM,0,Post Graduate,71,"Rs 20,62,773 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4608
2009,KARNATAKA,Dakshina_Kannada,8,MOHAMMED SALI,IND,0,5th Pass,40,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5909
2009,KARNATAKA,Dakshina_Kannada,10,SUBRAHMANYA KUMAR KUNTIKANAMATA,IND,0,Post Graduate,36,"Rs 9,52,000 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5912
2009,KARNATAKA,Dakshina_Kannada,11,VASUDEVA GOWDA M. P.,IND,0,12th Pass,49,"Rs 6,14,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5911
