Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,KARNATAKA,Tumkur,4,G.S. BASAVARAJU,BJP,0,Graduate Professional,67,"Rs 5,43,82,029 ~ 5 Crore+","Rs 87,61,621 ~ 87 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4579
2009,KARNATAKA,Tumkur,1,ASHOK,BSP,0,12th Pass,59,"Rs 27,40,000 ~ 27 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4578
2009,KARNATAKA,Tumkur,2,D.R. NAGARAJA,IND,0,Graduate,54,"Rs 55,84,500 ~ 55 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6418
2009,KARNATAKA,Tumkur,3,G. Nagendra,IND,0,10th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=630
2009,KARNATAKA,Tumkur,5,MOHAMED KHASIM,IND,0,Post Graduate,47,"Rs 2,50,000 ~ 2 Lacs+","Rs 1,40,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6420
2009,KARNATAKA,Tumkur,6,NIRANJANA C.S,IND,0,Post Graduate,29,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6419
2009,KARNATAKA,Tumkur,7,P.Kodandaramaiah,INC,1,Post Graduate,69,"Rs 6,34,20,000 ~ 6 Crore+","Rs 49,470 ~ 49 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1162
2009,KARNATAKA,Tumkur,8,S.P. MUDDAHANUMEGOWDA,JD(S),0,Graduate,55,"Rs 98,96,116 ~ 98 Lacs+","Rs 1,94,997 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4580
2009,KARNATAKA,Tumkur,9,SHASIBHUSHANA,IND,0,Post Graduate,34,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6421
2009,KARNATAKA,Tumkur,10,Sri. Gowri Shankara Swamigalu,SP,0,Graduate,63,"Rs 40,17,500 ~ 40 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1348
