Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,KERALA,Chalakudy,8,K P Dhanapalan,INC,1,Graduate,59,"Rs 29,54,364 ~ 29 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=1547
2009,KERALA,Chalakudy,1,Adv K V Sabu,BJP,0,Graduate Professional,47,"Rs 35,81,000 ~ 35 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1549
2009,KERALA,Chalakudy,2,Adv U P Joseph,CPM,0,Graduate Professional,45,"Rs 36,24,789 ~ 36 Lacs+","Rs 5,30,615 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1546
2009,KERALA,Chalakudy,3,C A Haseena,IND,0,10th Pass,36,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1556
2009,KERALA,Chalakudy,4,Dr P S Babu,IND,0,Graduate Professional,42,"Rs 10,65,483 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1554
2009,KERALA,Chalakudy,5,Hamsa Kalapparambath,IND,0,5th Pass,47,"Rs 12,12,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1550
2009,KERALA,Chalakudy,6,Johny K Chikku,IND,0,Graduate,47,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1551
2009,KERALA,Chalakudy,7,Jose Maveli,IND,0,10th Pass,58,"Rs 3,64,68,585 ~ 3 Crore+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1552
2009,KERALA,Chalakudy,9,Muttam Abdulla,BSP,1,12th Pass,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1548
2009,KERALA,Chalakudy,10,T S Narayanan Master,IND,0,10th Pass,67,"Rs 18,92,468 ~ 18 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1555
2009,KERALA,Chalakudy,11,U P Jose,IND,0,5th Pass,45,"Rs 2,35,000 ~ 2 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1553
