Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Bhind,1,ASHOK ARGAL,BJP,4,12th Pass,39,"Rs 79,72,241 ~ 79 Lacs+","Rs 1,00,000 ~ 1 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=5092
2009,MADHYA PRADESH,Bhind,2,BHAGIRATH,IND,0,Graduate,33,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5100
2009,MADHYA PRADESH,Bhind,3,D.R.RAHUL,BSP,0,Graduate Professional,58,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5095
2009,MADHYA PRADESH,Bhind,4,DR. BHAGIRATH PRASAD,INC,0,Doctorate,61,"Rs 1,79,67,761 ~ 1 Crore+","Rs 39,09,323 ~ 39 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5094
2009,MADHYA PRADESH,Bhind,5,LALARAM,IND,0,Literate,46,"Rs 1,14,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5102
2009,MADHYA PRADESH,Bhind,6,NAND KISHOR KORI,SP,0,Literate,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5093
2009,MADHYA PRADESH,Bhind,7,R.J.JATAV,IND,0,Literate,48,"Rs 96,000 ~ 96 Thou+","Rs 1,30,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5099
2009,MADHYA PRADESH,Bhind,8,RAMSEVAK MORYA,IND,0,10th Pass,43,"Rs 4,18,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5101
2009,MADHYA PRADESH,Bhind,9,SHAILENDRA SINGH ALIAS KALLU,IND,0,12th Pass,25,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5104
2009,MADHYA PRADESH,Bhind,10,SHANKAR LAL VERMA,BHBP,0,Post Graduate,70,"Rs 10,94,019 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5097
2009,MADHYA PRADESH,Bhind,11,SHRIRAM RAHUL,BMM,0,12th Pass,41,"Rs 10,60,000 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5098
2009,MADHYA PRADESH,Bhind,12,TULSIRAM DHANUK THEKEDAR,IVD,0,Illiterate,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5096
2009,MADHYA PRADESH,Bhind,13,VEERENDRA KUMAR GOYAL,IND,0,12th Pass,40,"Rs 8,45,719 ~ 8 Lacs+","Rs 8,000 ~ 8 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5103
