Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Bhopal,9,KAILASH JOSHI,BJP,0,10th Pass,79,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3396
2009,MADHYA PRADESH,Bhopal,1,AHIRWAR LAKHANLAL PURVI,RPI(A),0,8th Pass,42,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3400
2009,MADHYA PRADESH,Bhopal,2,AMAR SINGH,IND,0,5th Pass,72,"Rs 47,95,500 ~ 47 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3406
2009,MADHYA PRADESH,Bhopal,3,ANIL SINGH,IND,0,Graduate,30,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3405
2009,MADHYA PRADESH,Bhopal,4,ASHOK PAWAR,PRSP,0,12th Pass,47,"Rs 4,40,000 ~ 4 Lacs+","Rs 60,000 ~ 60 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3399
2009,MADHYA PRADESH,Bhopal,5,BRAJENDRA CHATURVEDI URF GAPPU CHATURVEDI,IND,0,Post Graduate,35,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3410
2009,MADHYA PRADESH,Bhopal,6,D. C. GUJARKAR,IND,5,Post Graduate,52,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3408
2009,MADHYA PRADESH,Bhopal,7,DARSHAN SINGH RATHORE,IND,0,10th Pass,53,"Rs 31,26,500 ~ 31 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3409
2009,MADHYA PRADESH,Bhopal,8,ER. ASHOK NARAYAN SINGH,BSP,0,Graduate Professional,54,"Rs 1,76,03,871 ~ 1 Crore+","Rs 20,50,000 ~ 20 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3395
2009,MADHYA PRADESH,Bhopal,10,KAPIL DUBEY,IND,0,10th Pass,37,"Rs 1,79,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3407
2009,MADHYA PRADESH,Bhopal,11,KARAN KUMAR KAROSIA URF KARAN JEEJA,GGP,0,Literate,41,Rs 750 ~ 7 Hund+,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3401
2009,MADHYA PRADESH,Bhopal,12,MEHDI SIR,IND,0,Graduate,30,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3413
2009,MADHYA PRADESH,Bhopal,13,MHOD. MUNAWAR KHAN KAUSAR,SP,0,12th Pass,44,"Rs 5,01,59,163 ~ 5 Crore+","Rs 78,66,881 ~ 78 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3397
2009,MADHYA PRADESH,Bhopal,14,MUKESH SEN,IND,0,10th Pass,32,"Rs 5,14,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3412
2009,MADHYA PRADESH,Bhopal,15,RADHESHYAM KULASTE,GMS,0,5th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3402
2009,MADHYA PRADESH,Bhopal,16,RAJESH KUMAR YADAV,IND,0,Graduate,42,"Rs 14,35,000 ~ 14 Lacs+","Rs 5,74,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3414
2009,MADHYA PRADESH,Bhopal,17,RAM SAHAY YATRI (SHRIVASTAVA) URF RASHTRAVADI YATRI,IND,0,Literate,79,"Rs 3,35,627 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3415
2009,MADHYA PRADESH,Bhopal,18,RAMDAS GHOSLE,RPI(D),0,10th Pass,54,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3403
2009,MADHYA PRADESH,Bhopal,19,SANJEEV SINGHAL,SVSP,0,Post Graduate,42,"Rs 62,000 ~ 62 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3404
2009,MADHYA PRADESH,Bhopal,20,SHAHNAWAZ,IND,0,Post Graduate,59,"Rs 6,28,158 ~ 6 Lacs+","Rs 23,50,000 ~ 23 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3416
2009,MADHYA PRADESH,Bhopal,21,SHIV NARAYAN SINGH BAGWARE,IND,0,Post Graduate,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3417
2009,MADHYA PRADESH,Bhopal,22,SURENDRA SINGH THAKUR,INC,1,Graduate Professional,55,"Rs 1,03,22,880 ~ 1 Crore+","Rs 21,50,000 ~ 21 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3398
