Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MADHYA PRADESH,Damoh,15,SHIVRAJ BHAIYA,BJP,0,12th Pass,68,Not Available,Not Available,Yes
2009,MADHYA PRADESH,Damoh,1,AHIR KAMLA YADAV,SP,0,Literate,55,"Rs 52,50,000 ~ 52 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,2,BHAGIRATH KURMI,RDMP,0,5th Pass,64,"Rs 11,51,000 ~ 11 Lacs+","Rs 1,80,000 ~ 1 Lacs+",No
2009,MADHYA PRADESH,Damoh,3,CHANDRABHAN BHAIYA JATASHANKAR COLONY DAMOH,IND,0,5th Pass,45,Not Available,Not Available,No
2009,MADHYA PRADESH,Damoh,4,CHANDRABHAN BHAIYA PARSORIA NAHAR,IND,0,12th Pass,37,"Rs 2,61,532 ~ 2 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,5,GAFFAR ALI,IND,0,Post Graduate,70,"Rs 26,50,000 ~ 26 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,6,GOPAL BHAIYA,IND,0,10th Pass,45,Not Available,Not Available,No
2009,MADHYA PRADESH,Damoh,7,HARIRAM THAKUR,GGP,2,Not Given,37,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,8,JANKI PRASAD,IND,0,Graduate,62,"Rs 4,31,000 ~ 4 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,9,JAYANT BHAIYA,IND,0,8th Pass,31,Not Available,Not Available,No
2009,MADHYA PRADESH,Damoh,10,KASHIRAM ALIAS KAMLESH DHURVE,GMS,0,8th Pass,35,Nil,Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,11,MANOJ DEVALIYA,BJBP,2,12th Pass,28,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,12,NANNE LAL,IND,0,5th Pass,52,Not Available,Not Available,No
2009,MADHYA PRADESH,Damoh,13,RAMPHOOL DAHAYAT,IND,0,10th Pass,39,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,14,SHIV RAJ ALIAS BADE BHAIYA,IND,0,Illiterate,47,"Rs 81,660 ~ 81 Thou+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,16,SHIVRAJ BHAIYA,SVSP,0,12th Pass,68,"Rs 89,29,326 ~ 89 Lacs+","Rs 2,86,513 ~ 2 Lacs+",No
2009,MADHYA PRADESH,Damoh,17,SHIVRAJ BHAIYA BADE THAKUR,IND,0,5th Pass,25,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,18,SHIVRAJ SINGH BANDA,IND,0,10th Pass,34,Not Available,Not Available,No
2009,MADHYA PRADESH,Damoh,19,SHIVRAJ SINGH NAYAKHEDA APPCHAND,IND,0,Literate,35,"Rs 31,500 ~ 31 Thou+",Rs 0 ~,No
2009,MADHYA PRADESH,Damoh,20,VIJAY SINGH RAJPOOT,IND,0,12th Pass,32,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
