Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Hoshangabad,10,UDAY PRATAP SINGH,INC,0,Graduate,44,"Rs 3,99,06,000 ~ 3 Crore+","Rs 13,74,065 ~ 13 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3377
2009,MADHYA PRADESH,Hoshangabad,1,ADV.B.M.KAUSHIK,BSP,0,Graduate Professional,35,"Rs 13,25,500 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3378
2009,MADHYA PRADESH,Hoshangabad,2,BHARAT KUMAR CHOUREY,IND,0,Post Graduate,29,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3382
2009,MADHYA PRADESH,Hoshangabad,3,DINESH KUMAR AHIRWAR,IND,0,Not Given,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3381
2009,MADHYA PRADESH,Hoshangabad,4,HAJAEE SYID MUEEN UDDIN,SP,0,12th Pass,47,"Rs 11,27,989 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3379
2009,MADHYA PRADESH,Hoshangabad,5,MOHAMMD ABDULLA,IND,0,10th Pass,54,"Rs 5,90,000 ~ 5 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3383
2009,MADHYA PRADESH,Hoshangabad,6,RAKHI GUPTA,IND,0,Post Graduate,31,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3384
2009,MADHYA PRADESH,Hoshangabad,7,RAMPAL,IND,0,10th Pass,62,"Rs 3,17,000 ~ 3 Lacs+","Rs 10,000 ~ 10 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3385
2009,MADHYA PRADESH,Hoshangabad,8,RAMPAL SINGH,BJP,0,Graduate Professional,53,"Rs 1,86,88,098 ~ 1 Crore+","Rs 21,70,409 ~ 21 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3380
2009,MADHYA PRADESH,Hoshangabad,9,SUDAMA PRASAD,IND,0,Literate,55,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3386
