Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Ratlam,7,KANTILAL BHURIA,INC,0,Post Graduate,59,"Rs 3,05,57,089 ~ 3 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=5236
2009,MADHYA PRADESH,Ratlam,1,BHADIYA DABAR,IND,0,Not Given,49,"Rs 16,90,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5244
2009,MADHYA PRADESH,Ratlam,2,BHERUSINGH DAMOR,JD(U),0,10th Pass,63,"Rs 12,70,000 ~ 12 Lacs+","Rs 33,000 ~ 33 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5243
2009,MADHYA PRADESH,Ratlam,3,DILEEP SINGH BHURIA,BJP,0,10th Pass,63,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5238
2009,MADHYA PRADESH,Ratlam,4,JALAM SINGH PATEL,RDMP,0,Graduate,40,"Rs 1,54,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5242
2009,MADHYA PRADESH,Ratlam,5,JEEVANLAL,SP,0,5th Pass,38,"Rs 4,01,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5237
2009,MADHYA PRADESH,Ratlam,6,KALUSINGH BHABHR,SHS,0,5th Pass,27,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5241
2009,MADHYA PRADESH,Ratlam,8,RAMESH SOLANKI,BSP,0,12th Pass,35,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5239
2009,MADHYA PRADESH,Ratlam,9,RAMESHWOR SINGAR,IND,0,12th Pass,32,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5245
2009,MADHYA PRADESH,Ratlam,10,UDAY SINGH MACHAR,RPI(A),0,Literate,38,"Rs 11,00,120 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5240
