Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MADHYA PRADESH,Rewa,4,DEORAJ SINGH PATEL,BSP,0,Post Graduate,36,"Rs 3,08,45,000 ~ 3 Crore+","Rs 49,61,271 ~ 49 Lacs+",Yes
2009,MADHYA PRADESH,Rewa,1,BADRI PRASAD KUSHWAHA,AD,0,12th Pass,47,"Rs 3,80,000 ~ 3 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Rewa,2,BRAHMDUTTMISHRA ALIAS CHHOTE MURAITHA,IND,0,10th Pass,46,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Rewa,3,CHANDRA MANI TRIPATHI,BJP,0,Post Graduate,62,Not Available,Not Available,No
2009,MADHYA PRADESH,Rewa,5,HIRALAL VISHWAKARMA,IND,0,8th Pass,56,"Rs 19,00,000 ~ 19 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Rewa,6,JAIKARAN SAKET,IND,2,Graduate Professional,48,Not Available,Not Available,No
2009,MADHYA PRADESH,Rewa,7,MD. AKEEL KHAN (BACHCHA BHAI),IND,0,8th Pass,34,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No
2009,MADHYA PRADESH,Rewa,8,PUSHPRAJ SINGH,SP,0,Post Graduate,48,"Rs 28,66,31,238 ~ 28 Crore+","Rs 2,03,643 ~ 2 Lacs+",No
2009,MADHYA PRADESH,Rewa,9,RAMAYAN PRASAD PATEL,Yuva Vikas Party,0,8th Pass,42,Not Available,Not Available,No
2009,MADHYA PRADESH,Rewa,10,RAMKISHAN NIRAT (SAKET),RPI(A),0,Post Graduate,32,"Rs 2,17,000 ~ 2 Lacs+","Rs 70,000 ~ 70 Thou+",No
2009,MADHYA PRADESH,Rewa,11,SALMA,AIFB,0,12th Pass,33,"Rs 20,000 ~ 20 Thou+","Rs 40,000 ~ 40 Thou+",No
2009,MADHYA PRADESH,Rewa,12,SUKHENDRA PRATAP,IND,0,12th Pass,44,Not Available,Not Available,No
2009,MADHYA PRADESH,Rewa,13,SUNDAR LAL,IND,0,Literate,37,"Rs 6,63,000 ~ 6 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Rewa,14,SUNDER LAL TIWARI,INC,0,Graduate Professional,51,"Rs 39,73,765 ~ 39 Lacs+","Rs 5,82,137 ~ 5 Lacs+",No
2009,MADHYA PRADESH,Rewa,15,VIMALA SONDHIA,LJP,0,Illiterate,53,Not Available,Not Available,No
