Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MADHYA PRADESH,Sidhi,3,GOVIND PRASAD MISHRA,BJP,0,Graduate Professional,60,Not Available,Not Available,Yes
2009,MADHYA PRADESH,Sidhi,1,ASHOK KUMAR SHAH,BSP,0,Post Graduate,34,"Rs 47,79,766 ~ 47 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Sidhi,2,BABOOLAL JAISWAL,IND,0,10th Pass,39,"Rs 15,05,000 ~ 15 Lacs+","Rs 10,000 ~ 10 Thou+",No
2009,MADHYA PRADESH,Sidhi,4,INDRAJEET KUMAR,INC,0,Graduate,61,"Rs 1,34,28,842 ~ 1 Crore+","Rs 14,37,086 ~ 14 Lacs+",No
2009,MADHYA PRADESH,Sidhi,5,LOLAR SINGH URETI,GMS,0,8th Pass,29,"Rs 1,01,500 ~ 1 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Sidhi,6,MADAN MOHAN JAISWAL (ADVOCATE),IND,4,Graduate Professional,36,Not Available,Not Available,No
2009,MADHYA PRADESH,Sidhi,7,MAHENDRA BHAIYA (DIKSHIT),IND,0,10th Pass,42,"Rs 2,03,50,000 ~ 2 Crore+","Rs 10,563 ~ 10 Thou+",No
2009,MADHYA PRADESH,Sidhi,8,MANIK SINGH,SP,0,Not Given,44,"Rs 52,92,603 ~ 52 Lacs+",Rs 0 ~,No
2009,MADHYA PRADESH,Sidhi,9,RAMAKANT PANDEY MALAIHNA,IND,0,Post Graduate,63,Not Available,Not Available,No
2009,MADHYA PRADESH,Sidhi,10,VEENA SINGH (VEENA DIDI),IND,0,Graduate,56,"Rs 10,63,67,000 ~ 10 Crore+",Rs 0 ~,No
2009,MADHYA PRADESH,Sidhi,11,VEENA SINGH NETI,GGP,0,12th Pass,34,"Rs 18,25,000 ~ 18 Lacs+",Rs 0 ~,No
