Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Tikamgarh,15,VIRENDRA KUMAR,BJP,0,Doctorate,55,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=5161
2009,MADHYA PRADESH,Tikamgarh,1,AHIRWAR GYADIN,IND,1,12th Pass,42,"Rs 12,85,715 ~ 12 Lacs+","Rs 97,500 ~ 97 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5164
2009,MADHYA PRADESH,Tikamgarh,2,AHIRWAR JAGDISH PRASAD,LJP,0,Graduate,28,"Rs 37,000 ~ 37 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5162
2009,MADHYA PRADESH,Tikamgarh,3,AHIRWAR RAMSWAROOP,IND,0,Not Given,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5165
2009,MADHYA PRADESH,Tikamgarh,4,AHIRWAR VRINDAVAN,INC,0,12th Pass,39,"Rs 1,63,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5158
2009,MADHYA PRADESH,Tikamgarh,5,CHAMAN LAL,IND,0,8th Pass,74,"Rs 61,500 ~ 61 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5168
2009,MADHYA PRADESH,Tikamgarh,6,CHINTAMAN KORI RAMPURIYA,SP,0,12th Pass,64,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5159
2009,MADHYA PRADESH,Tikamgarh,7,DAYARAM,IND,0,8th Pass,30,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5169
2009,MADHYA PRADESH,Tikamgarh,8,G.D.,BSP,0,Graduate Professional,62,"Rs 20,07,070 ~ 20 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5160
2009,MADHYA PRADESH,Tikamgarh,9,KAMLAPAT KUMHAR,IND,0,8th Pass,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5166
2009,MADHYA PRADESH,Tikamgarh,10,KHARGA PRASAD,IND,0,8th Pass,58,"Rs 3,89,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5167
2009,MADHYA PRADESH,Tikamgarh,11,LAXMI PRASAD AHIRWAR,IND,0,10th Pass,40,"Rs 5,25,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5172
2009,MADHYA PRADESH,Tikamgarh,12,PARWAT LAL,IND,0,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5170
2009,MADHYA PRADESH,Tikamgarh,13,RAMCHARAN AHIRWAR,IND,0,5th Pass,47,"Rs 4,68,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5171
2009,MADHYA PRADESH,Tikamgarh,14,SHRIPAT SHIKSHAK,IND,0,12th Pass,37,"Rs 1,73,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5174
2009,MADHYA PRADESH,Tikamgarh,16,VISHAN LAL BASHNKAR,PRSP,0,Illiterate,43,"Rs 2,30,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5163
2009,MADHYA PRADESH,Tikamgarh,17,VRINDAVAN AHIRWAR,IND,0,12th Pass,39,"Rs 1,63,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5173
