Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MAHARASHTRA,Aurangabad,2,CHANDRAKANT KHAIRE,SHS,16,12th Pass,57,"Rs 1,41,51,539 ~ 1 Crore+","Rs 14,72,122 ~ 14 Lacs+",Yes
2009,MAHARASHTRA,Aurangabad,1,BANKAR MILIND RANUJI,IND,0,8th Pass,38,Rs 457 ~ 4 Hund+,Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,3,EJAZ KHAN BISMILLAH KHAN,IND,0,12th Pass,33,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,4,JADHAV TOTARAM GANPAT,IND,1,Others,51,"Rs 7,91,000 ~ 7 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,5,JADHAV VISHNU SURYABHAN,IND,0,10th Pass,50,"Rs 13,65,000 ~ 13 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,6,JAHAGIRDAR MOHMAD AYUB GULAM,SP,0,10th Pass,55,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,7,JYOTI RAMCHANDRA UPADHAYAY,BBM,0,Post Graduate,35,"Rs 72,68,679 ~ 72 Lacs+","Rs 1,52,700 ~ 1 Lacs+",No
2009,MAHARASHTRA,Aurangabad,8,KAZI MUSHIRODDIN TAJODDIN,IND,0,10th Pass,63,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,9,KRISHNA DEVIDAS JADHAV,IND,1,Graduate,25,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,10,MANIK RAMU SHINDE,KM,0,Graduate,34,"Rs 18,50,000 ~ 18 Lacs+","Rs 1,75,000 ~ 1 Lacs+",No
2009,MAHARASHTRA,Aurangabad,11,PANDURANG WAMANRAO NARWADE,PRCP,0,Post Graduate,39,"Rs 2,69,200 ~ 2 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,12,SAYYED SALIM SAYYED YUSUF,BSP,0,10th Pass,56,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,13,SHAIKH HARUN MALIK SAHEB,RSPS,0,12th Pass,50,"Rs 33,30,000 ~ 33 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,14,SHAIKH RAFIQ SHAIKH RAZZAK,IND,0,Literate,30,"Rs 65,200 ~ 65 Thou+","Rs 80,000 ~ 80 Thou+",No
2009,MAHARASHTRA,Aurangabad,15,SHAIKH SALIM PATEL WAHEGAONKAR,IND,0,Literate,38,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,16,SHANTIGIRIJI MOUNGIRIJI MAHARAJ,IND,1,10th Pass,50,"Rs 71,39,154 ~ 71 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Aurangabad,17,SUBHASH KISANRAO PATIL (JADHAV),IND,4,5th Pass,47,"Rs 62,46,207 ~ 62 Lacs+","Rs 7,92,900 ~ 7 Lacs+",No
2009,MAHARASHTRA,Aurangabad,18,UTTAM MANIK KIRTIKAR,IND,0,Graduate,30,Not Available,Not Available,No
2009,MAHARASHTRA,Aurangabad,19,UTTAMSINGH RAJDHARSINGH PAWAR,INC,0,Graduate,58,"Rs 2,60,78,139 ~ 2 Crore+","Rs 75,94,090 ~ 75 Lacs+",No
