Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MAHARASHTRA,Beed,12,MUNDE GOPINATHRAO PANDURANG,BJP,4,Graduate Professional,59,Not Available,Not Available,Yes
2009,MAHARASHTRA,Beed,1,ADV.NATKAR RAMRAO SHESHRAO,IND,3,Post Graduate,59,"Rs 33,22,517 ~ 33 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,2,BABURAO NARAYANRAO KAGADE,ANC,0,Literate,63,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,3,DR. SHIVAJIRAO KISANRAO SHENDGE,RSPS,0,Graduate,39,Not Available,Not Available,No
2009,MAHARASHTRA,Beed,4,GURAV KALYAN BHANUDAS,RKSP,1,10th Pass,62,Nil,Rs 0 ~,No
2009,MAHARASHTRA,Beed,5,KAMAL KONDIRAM NIMBALKAR,IND,0,12th Pass,39,"Rs 11,84,000 ~ 11 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,6,KAMBLE DEEPAK DYANOBA,IND,1,Not Given,32,Not Available,Not Available,No
2009,MAHARASHTRA,Beed,7,KHALGE KACHRU SANTRAMJI,BBM,3,10th Pass,48,"Rs 10,05,000 ~ 10 Lacs+","Rs 22,000 ~ 22 Thou+",No
2009,MAHARASHTRA,Beed,8,KHAN SIKANDAR KHAN HUSSAIN KHAN,IND,0,Not Given,58,"Rs 25,000 ~ 25 Thou+","Rs 60,000 ~ 60 Thou+",No
2009,MAHARASHTRA,Beed,9,KOKATE RAMESH BABURAO (ADASKAR),NCP,1,Graduate,38,Not Available,Not Available,No
2009,MAHARASHTRA,Beed,10,MAHAMMAD AKARAM MAHAMMAD SALIMUDDIN BAGWAN,IND,0,8th Pass,34,"Rs 19,50,000 ~ 19 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,11,MASKE MACHHINDRA BABURAO,BSP,0,Graduate,58,"Rs 21,03,500 ~ 21 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,13,NIKALJE SHEELATAI MAHENDRA,PRCP,0,Graduate,34,"Rs 10,07,000 ~ 10 Lacs+","Rs 2,25,000 ~ 2 Lacs+",No
2009,MAHARASHTRA,Beed,14,PATHAN GAFARKHAN JABBARKHAN,IND,0,8th Pass,42,Nil,"Rs 2,00,000 ~ 2 Lacs+",No
2009,MAHARASHTRA,Beed,15,PRAMOD ALIAS PARMESHWAR SAKHARAM MOTE,KM,4,12th Pass,32,Not Available,Not Available,No
2009,MAHARASHTRA,Beed,16,RAMESH VISHVANATH KOKATE,IND,0,Literate,32,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,17,SARDAR KHAN SULTANABABA,IND,0,Literate,26,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Beed,18,SAYYED MINHAJ ALI WAJED ALI (PENDKHJUR WALE),IND,0,10th Pass,34,Not Available,Not Available,No
2009,MAHARASHTRA,Beed,19,SAYYED SALIM FATTU,IND,0,Literate,47,"Rs 65,000 ~ 65 Thou+","Rs 2,00,000 ~ 2 Lacs+",No
2009,MAHARASHTRA,Beed,20,TATE ASHOK SANTRAM,Ambedkarist Republican Party,0,12th Pass,50,Nil,Rs 0 ~,No
