Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MAHARASHTRA,Bhandara_Gondiya,7,PATEL PRAFUL MANOHARBHAI,NCP,0,Graduate,52,"Rs 1,28,31,15,471 ~ 128 Crore+","Rs 21,07,58,853 ~ 21 Crore+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=1395
2009,MAHARASHTRA,Bhandara_Gondiya,1,ADV. DHANANJAY SHAMLALJI RAJABHOJ,IND,0,Post Graduate,50,"Rs 16,10,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1401
2009,MAHARASHTRA,Bhandara_Gondiya,2,GAJBHIYE BRAMHASWARUP BABURAO,IND,0,12th Pass,33,"Rs 36,770 ~ 36 Thou+","Rs 24,000 ~ 24 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1400
2009,MAHARASHTRA,Bhandara_Gondiya,3,GAJBHIYE RAJENDRA MAHADEO,IND,0,Not Given,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=214
2009,MAHARASHTRA,Bhandara_Gondiya,4,JAMAIWAR SUNIL PARASRAM,RSP,0,Literate,38,"Rs 13,64,000 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1397
2009,MAHARASHTRA,Bhandara_Gondiya,5,MIRZA WAHIDBEG AHAMADBEG,IND,0,12th Pass,33,"Rs 4,80,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1405
2009,MAHARASHTRA,Bhandara_Gondiya,6,NANABHAU FALGUNRAO PATOLE,IND,9,Graduate,47,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1402
2009,MAHARASHTRA,Bhandara_Gondiya,8,PATHAN MUSHTAK LATIF,DESEP,0,Not Given,32,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=204
2009,MAHARASHTRA,Bhandara_Gondiya,9,PATLE AKARSING SITARAM,IND,0,Post Graduate,36,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1403
2009,MAHARASHTRA,Bhandara_Gondiya,10,PATLE SHISHUPAL NATTHUJI,BJP,0,Graduate,42,"Rs 15,56,400 ~ 15 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1394
2009,MAHARASHTRA,Bhandara_Gondiya,11,PROF. DR. BHASKARRAO MAHADEORAO JIBHAKATE,IND,0,Doctorate,63,"Rs 60,60,500 ~ 60 Lacs+","Rs 3,895 ~ 3 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1404
2009,MAHARASHTRA,Bhandara_Gondiya,12,RAHANGADALE MULCHAND OLGAN,IND,0,10th Pass,56,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1407
2009,MAHARASHTRA,Bhandara_Gondiya,13,UKEY CHINDHUJI LAKHAJI,IND,0,Literate,50,"Rs 6,10,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=208
2009,MAHARASHTRA,Bhandara_Gondiya,14,WASNIK SUNIL MANIRAM,RP(K),0,12th Pass,38,"Rs 6,07,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1399
2009,MAHARASHTRA,Bhandara_Gondiya,15,YELE GANESHRAM SUKHRAM,IND,0,10th Pass,54,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1406
