Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MAHARASHTRA,Jalgaon,1,A.T. NANA PATIL,BJP,0,Graduate,47,"Rs 10,38,39,607 ~ 10 Crore+","Rs 92,00,000 ~ 92 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3456
2009,MAHARASHTRA,Jalgaon,2,ADV. MATIN AHMED,BSP,1,Graduate Professional,38,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3457
2009,MAHARASHTRA,Jalgaon,3,ADV. VASANTRAO JIVANRAO MORE,NCP,1,Graduate Professional,63,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3458
2009,MAHARASHTRA,Jalgaon,4,ANIL PITAMBAR WAGH (SIR),IND,0,Post Graduate,39,"Rs 22,000 ~ 22 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3464
2009,MAHARASHTRA,Jalgaon,5,ATMARAM SURSING JADHAV (ENGG.),KKJHS,0,12th Pass,33,"Rs 1,43,100 ~ 1 Lacs+","Rs 5,20,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3459
2009,MAHARASHTRA,Jalgaon,6,JADHAV NATTHU SHANKAR,BBM,0,10th Pass,56,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3460
2009,MAHARASHTRA,Jalgaon,7,JANGALU DEVRAM SHIRSATH,HJP,0,8th Pass,65,"Rs 6,80,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3461
2009,MAHARASHTRA,Jalgaon,8,KANTILAL CHHAGAN NAIK (BANJARA),IND,2,Graduate,39,"Rs 1,20,319 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3465
2009,MAHARASHTRA,Jalgaon,9,LAXMAN SHIVAJI SHIRSATH (PATIL),KM,6,Others,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3463
2009,MAHARASHTRA,Jalgaon,10,NANNAWARE CHAITANYA PANDIT,PRCP,0,12th Pass,33,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3462
2009,MAHARASHTRA,Jalgaon,11,SALIMODDIN ISAMODDIN SHE.(MISTARI),IND,1,Literate,56,"Rs 49,500 ~ 49 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3468
2009,MAHARASHTRA,Jalgaon,12,SHALIGRAM SHIVRAM MAHAJAN (DEORE),IND,0,Graduate,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3467
