Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MAHARASHTRA,Mumbai_North_East,12,SANJAY DINA PATIL,NCP,2,Graduate,40,Not Available,Not Available,Yes
2009,MAHARASHTRA,Mumbai_North_East,1,ASHOK CHANDRAPAL SINGH,BSP,0,Graduate,45,"Rs 2,27,26,806 ~ 2 Crore+","Rs 81,716 ~ 81 Thou+",No
2009,MAHARASHTRA,Mumbai_North_East,2,DHARPAL BHAGWAN MESHRAM,IND,0,10th Pass,47,"Rs 14,00,000 ~ 14 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,3,DIKSHA JITENDRA JAGTAP,IND,0,5th Pass,38,Not Available,Not Available,No
2009,MAHARASHTRA,Mumbai_North_East,4,JAYESH C. MIRANI,IND,7,Others,48,"Rs 11,10,000 ~ 11 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,5,KIRIT SOMAIYA,BJP,8,Doctorate,55,"Rs 4,78,81,269 ~ 4 Crore+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,6,KOKARE SANJAY DHAKU,BBM,0,10th Pass,43,Not Available,Not Available,No
2009,MAHARASHTRA,Mumbai_North_East,7,MANISHA MUKESH GADE,KKJHS,0,Post Graduate,34,"Rs 62,00,000 ~ 62 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,8,NAMDEV TUKARAM SATHE,IND,0,10th Pass,34,"Rs 51,600 ~ 51 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,9,NARAYAN ANAND ROKADE,IND,0,5th Pass,37,Not Available,Not Available,No
2009,MAHARASHTRA,Mumbai_North_East,10,PANKAJBHAI SOMCHAND SHAH,IND,0,10th Pass,55,"Rs 67,58,650 ~ 67 Lacs+","Rs 2,46,861 ~ 2 Lacs+",No
2009,MAHARASHTRA,Mumbai_North_East,11,PRAKASH D. KAMBLE,IND,0,10th Pass,33,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,13,SHISHIR SHINDE,MNS,7,10th Pass,55,"Rs 1,68,38,000 ~ 1 Crore+","Rs 16,64,000 ~ 16 Lacs+",No
2009,MAHARASHTRA,Mumbai_North_East,14,SUNITA MOHAN TUPSOUNDARYA,IND,0,Graduate,38,"Rs 7,73,000 ~ 7 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Mumbai_North_East,15,TATVASAHEB REVDEKAR,IND,1,12th Pass,47,Not Available,Not Available,No
2009,MAHARASHTRA,Mumbai_North_East,16,VISHWANATH DATTU PATIL,RSPS,0,8th Pass,43,"Rs 1,49,865 ~ 1 Lacs+",Rs 0 ~,No
