Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MAHARASHTRA,Nagpur,16,MUTTEMWAR VILASRAO BABURAOJI,INC,0,Graduate,60,"Rs 1,53,02,294 ~ 1 Crore+","Rs 27,56,726 ~ 27 Lacs+",Yes
2009,MAHARASHTRA,Nagpur,1,ADV. GAJANAN SADASHIV KAWALE,RP(K),0,Graduate Professional,51,"Rs 16,41,000 ~ 16 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,2,ADV. UPASHA BANSI TAYWADE,IND,0,Post Graduate,67,"Rs 5,40,000 ~ 5 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,3,ADV. VASANTA UMRE,DPI,0,Post Graduate,50,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,4,ARUN SHAMRAO JOSHI,ABHM,0,Post Graduate,59,"Rs 88,78,467 ~ 88 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,5,ASHISH ARUN NAGRARE,IND,0,Not Given,29,"Rs 3,00,000 ~ 3 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,6,AZIZUR REHMAN SHEIKH,IND,0,Post Graduate,46,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,7,BARPATRE CHANDRABHAN SOMAJI,IND,0,Literate,49,Nil,Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,8,BLASAHEB ALIAS PRAMOD RAMAJI SHAMBHARKAR,IND,0,Graduate,40,"Rs 41,000 ~ 41 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,9,DILIP MANGAL MADAVI,GGP,0,12th Pass,44,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,10,DR. YASHWANT MANOHAR,BBM,0,Doctorate,66,"Rs 55,12,000 ~ 55 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,11,ENGINEER MANIKRAO VAIDYA,BSP,0,Graduate Professional,55,"Rs 1,25,06,700 ~ 1 Crore+","Rs 6,944 ~ 6 Thou+",No
2009,MAHARASHTRA,Nagpur,12,JAGDISH RAGHUNATH AMBADE,IND,0,Graduate,44,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,13,KUMBHARE SULEKHA NARAYAN,BREM,0,Graduate Professional,49,"Rs 52,50,000 ~ 52 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,14,MEHMOOD KHAN RAHEEM KHAN,DESEP,0,Graduate,35,"Rs 24,65,000 ~ 24 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,15,MOHAMAD HABIB REEZAVI,IND,0,Not Given,55,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,17,PRATIBHA UDAY KHAPARDE,IND,0,10th Pass,35,Nil,Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,18,PREMDAS RAMCHANDRA RAMTEKE,IND,0,Graduate,48,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,19,PROF. DNYANESH WAKUDKAR,IND,3,Post Graduate,52,"Rs 78,77,515 ~ 78 Lacs+","Rs 14,33,930 ~ 14 Lacs+",No
2009,MAHARASHTRA,Nagpur,20,PUROHIT BANWARILAL BHAGWANDAS,BJP,4,Graduate,69,"Rs 8,35,12,197 ~ 8 Crore+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,21,RAHUL MADHUKAR DESHMUKH,IND,0,Graduate,34,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,22,RAJESH SUKHDEV GAIKWAD,KKJHS,0,Graduate,32,Nil,"Rs 70,000 ~ 70 Thou+",No
2009,MAHARASHTRA,Nagpur,23,RAJESHKUMAR MOHANLAL PUGALIA,IND,0,Graduate,37,"Rs 73,34,783 ~ 73 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,24,RAUT RAMESHCHANDRA,PRBP,1,Post Graduate,56,Not Available,Not Available,No
2009,MAHARASHTRA,Nagpur,25,SOMKUWAR VIJAY SITARAM,Ambedkarist Republican Party,0,Not Given,41,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,26,SUNIL GAYAPRASAD MISHRA,IND,0,Post Graduate,41,"Rs 6,53,118 ~ 6 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Nagpur,27,VIJAY DEVRAO DHAKATE,IND,0,8th Pass,26,Not Available,Not Available,No
