Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MAHARASHTRA,Nanded,11,KHATGAONK PATIL BHASKARRAO BAPURAO,INC,4,Graduate,65,"Rs 6,24,16,000 ~ 6 Crore+","Rs 2,60,000 ~ 2 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=260
2009,MAHARASHTRA,Nanded,1,(AIDS MAN) PRAKASH TATERAO LANDGE,IND,0,Graduate,40,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=261
2009,MAHARASHTRA,Nanded,2,A. RAEES A. JABBAR,ANC,0,Literate,36,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=823
2009,MAHARASHTRA,Nanded,3,ADV. C.S. BAHETI,JP,0,Post Graduate,56,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=813
2009,MAHARASHTRA,Nanded,4,ADV. RAMRAO PANDURANG WAGHMARE,IND,0,Literate,54,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1980
2009,MAHARASHTRA,Nanded,5,ALTAF AHMAD EAKBAL AHMAD,BBM,0,Graduate,43,"Rs 6,52,154 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=2
2009,MAHARASHTRA,Nanded,6,ANAND JADHAV HOTALKAR,IND,0,Post Graduate,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=819
2009,MAHARASHTRA,Nanded,7,BHARANDE RAMCHANDRA GANGARAM,IND,1,Post Graduate,31,"Rs 3,80,000 ~ 3 Lacs+","Rs 10,000 ~ 10 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=814
2009,MAHARASHTRA,Nanded,8,COM. ASHOK NAGORAO GHAYALE,IND,0,Post Graduate,40,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1978
2009,MAHARASHTRA,Nanded,9,HANMANTE VIJAY CHANDRAO,IND,0,Literate,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1981
2009,MAHARASHTRA,Nanded,10,KHADE SANJAY WAMANRAO,PRBP,0,Not Given,29,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=825
2009,MAHARASHTRA,Nanded,12,KOREWAR BALAJI NARSING,IND,0,Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=258
2009,MAHARASHTRA,Nanded,13,MD. MAKBUL SALIM HAJI MD. KHAJA,BSP,0,Graduate Professional,60,"Rs 8,55,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=265
2009,MAHARASHTRA,Nanded,14,MORE RAJESH EKNATHRAO,KM,0,12th Pass,34,"Rs 9,48,687 ~ 9 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=269
2009,MAHARASHTRA,Nanded,15,NARAYAN SURYAVANSHI DOANGONKAR,IND,1,Others,63,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=1979
2009,MAHARASHTRA,Nanded,16,NAVGHARE ANAND PANDURANG,IND,0,10th Pass,48,"Rs 14,00,000 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6
2009,MAHARASHTRA,Nanded,17,PATHAN ZAFAR ALI KHAN MAHEMUD ALI KHAN,IND,0,12th Pass,63,"Rs 7,00,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=10
2009,MAHARASHTRA,Nanded,18,SAMBHAJI PAWAR,BJP,1,Not Given,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=264
2009,MAHARASHTRA,Nanded,19,SHINDE PREETI MADHUKAR,Jan Surajya Shakti,0,Post Graduate,27,"Rs 60,13,582 ~ 60 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5
2009,MAHARASHTRA,Nanded,20,SHUDHIR YASHWANT SURVE,KKJHS,3,Post Graduate,40,"Rs 21,36,000 ~ 21 Lacs+","Rs 11,00,000 ~ 11 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=828
2009,MAHARASHTRA,Nanded,21,TIWARI RAMA BHAGIRAT,RSP,0,Literate,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8
