Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,MAHARASHTRA,Shirur,2,ADHALRAO SHIVAJI DATTATRAY,SHS,4,Post Graduate,52,"Rs 12,71,13,134 ~ 12 Crore+","Rs 1,62,21,275 ~ 1 Crore+",Yes
2009,MAHARASHTRA,Shirur,1,ABHANG KONDIBHAU BHIMAJI,IND,0,5th Pass,48,"Rs 6,09,000 ~ 6 Lacs+","Rs 24,000 ~ 24 Thou+",No
2009,MAHARASHTRA,Shirur,3,KALURAM RAGHUNATH TAPKIR,IND,0,Literate,52,Not Available,Not Available,No
2009,MAHARASHTRA,Shirur,4,KARANDE CHANGDEO NAMDEO,IND,0,10th Pass,43,"Rs 4,92,500 ~ 4 Lacs+",Rs 0 ~,No
2009,MAHARASHTRA,Shirur,5,LANDE VILAS MHATARBA,IND,0,8th Pass,37,"Rs 52,800 ~ 52 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Shirur,6,PALLAVI MOHAN HARSHE,PRCP,0,Others,28,Not Available,Not Available,No
2009,MAHARASHTRA,Shirur,7,SHELAR DNYANOBA SHRIPATI,RPPI,0,Literate,57,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2009,MAHARASHTRA,Shirur,8,SURESH MULCHAND KANKARIA (MAMA),RSPS,0,Not Given,57,"Rs 23,30,000 ~ 23 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2009,MAHARASHTRA,Shirur,9,VILAS VITHOBA LANDE,NCP,1,5th Pass,47,Not Available,Not Available,No
2009,MAHARASHTRA,Shirur,10,ZAGADE YASHWANT SITARAM,BSP,0,Graduate,35,"Rs 1,40,64,959 ~ 1 Crore+","Rs 3,70,000 ~ 3 Lacs+",No
