Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MAHARASHTRA,Solapur,10,SHINDE SUSHILKUMAR SAMBHAJIRAO,INC,0,Graduate Professional,68,"Rs 8,60,42,099 ~ 8 Crore+","Rs 37,00,000 ~ 37 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3737
2009,MAHARASHTRA,Solapur,1,ADV. BANSODE SHARAD MARUTI,BJP,0,Graduate Professional,41,"Rs 2,30,38,727 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3736
2009,MAHARASHTRA,Solapur,2,ADV. KASABEKAR SHRIDHAR LIMBAJI,RSPS,0,Graduate Professional,59,"Rs 10,22,756 ~ 10 Lacs+","Rs 9,400 ~ 9 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3738
2009,MAHARASHTRA,Solapur,3,BANSODE RAHUL DATTU,IND,0,8th Pass,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3744
2009,MAHARASHTRA,Solapur,4,BANSODE UTTAM BHIMSHA,IND,0,Not Given,50,"Rs 3,45,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3743
2009,MAHARASHTRA,Solapur,5,GAIKWAD PRAMOD RAMCHANDRA,BSP,3,12th Pass,48,"Rs 17,05,000 ~ 17 Lacs+","Rs 3,40,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3735
2009,MAHARASHTRA,Solapur,6,LAXMIKANT CHANDRAKANT GAIKWAD,KKJHS,1,Graduate,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3740
2009,MAHARASHTRA,Solapur,7,MILIND MAREPPA MULE,IND,0,Literate,49,"Rs 8,15,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3745
2009,MAHARASHTRA,Solapur,8,NARAYANKAR RAJENDRA BABURAO,IND,0,10th Pass,44,"Rs 77,340 ~ 77 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3741
2009,MAHARASHTRA,Solapur,9,RAJGURU NARAYAN YEDU,BBM,0,10th Pass,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3739
2009,MAHARASHTRA,Solapur,11,VIJAYKUMAR BHAGWANRAO UGHADE,IND,0,Others,38,"Rs 3,000 ~ 3 Thou+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3747
2009,MAHARASHTRA,Solapur,12,VIKRAM UTTAM KASABE,IND,0,Others,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3746
