Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,PUNJAB,Faridkot,6,PARAMJIT KAUR GULSHAN,SAD,0,Post Graduate,60,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7987
2009,PUNJAB,Faridkot,1,GURMEET SINGH RANGHRETA,PLP,1,12th Pass,39,"Rs 20,00,000 ~ 20 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7989
2009,PUNJAB,Faridkot,2,GURPREET SINGH,IND,0,10th Pass,29,"Rs 33,500 ~ 33 Thou+","Rs 16,000 ~ 16 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7996
2009,PUNJAB,Faridkot,3,JASVIR SINGH,MB(S)P,0,8th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7990
2009,PUNJAB,Faridkot,4,KAUSHALYA CHAMAN BHAURA,CPI,0,Graduate,60,"Rs 2,20,000 ~ 2 Lacs+","Rs 1,52,289 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7986
2009,PUNJAB,Faridkot,5,NIRMAL SINGH,IND,0,10th Pass,49,"Rs 8,000 ~ 8 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7998
2009,PUNJAB,Faridkot,7,PREM SINGH,SP,0,8th Pass,63,"Rs 3,00,530 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7992
2009,PUNJAB,Faridkot,8,PRITAM SINGH,RPI,0,5th Pass,70,"Rs 2,45,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7991
2009,PUNJAB,Faridkot,9,RAJ KAUR,All India Dalit Welfare Congress,0,Illiterate,60,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7993
2009,PUNJAB,Faridkot,10,RESHAM SINGH,BSP,0,Doctorate,56,"Rs 64,62,734 ~ 64 Lacs+","Rs 16,16,596 ~ 16 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7988
2009,PUNJAB,Faridkot,11,SHARAN KAUR,IND,0,Graduate,56,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7995
2009,PUNJAB,Faridkot,12,SUKHWINDER SINGH,IND,0,10th Pass,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7994
2009,PUNJAB,Faridkot,13,SUKHWINDER SINGH DANNY,INC,0,Post Graduate,32,"Rs 2,55,02,656 ~ 2 Crore+","Rs 35,19,849 ~ 35 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7985
2009,PUNJAB,Faridkot,14,VEERPAL KAUR,IND,0,Illiterate,42,"Rs 20,55,000 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7999
