Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,PUNJAB,Khadoor_Sahib,3,DR. RATTAN SINGH AJNALA,SAD,1,Graduate Professional,65,Not Available,Not Available,Yes
2009,PUNJAB,Khadoor_Sahib,1,BALKAR SINGH,BGTD,0,Post Graduate,55,"Rs 5,01,49,000 ~ 5 Crore+","Rs 1,50,124 ~ 1 Lacs+",No
2009,PUNJAB,Khadoor_Sahib,2,DARSHAN SINGH,All India Dalit Welfare Congress,0,10th Pass,44,"Rs 44,72,000 ~ 44 Lacs+",Rs 0 ~,No
2009,PUNJAB,Khadoor_Sahib,4,GIAN KAUR,IND,0,Literate,45,"Rs 3,60,000 ~ 3 Lacs+",Rs 0 ~,No
2009,PUNJAB,Khadoor_Sahib,5,GURJIT SINGH,IND,0,8th Pass,36,"Rs 18,66,997 ~ 18 Lacs+","Rs 88,000 ~ 88 Thou+",No
2009,PUNJAB,Khadoor_Sahib,6,HARJIT SINGH,IND,0,10th Pass,37,Not Available,Not Available,No
2009,PUNJAB,Khadoor_Sahib,7,JASPAL SINGH,IND,0,12th Pass,38,"Rs 8,12,200 ~ 8 Lacs+","Rs 4,76,498 ~ 4 Lacs+",No
2009,PUNJAB,Khadoor_Sahib,8,KANWAR PARTAP SINGH,IND,0,10th Pass,41,"Rs 8,99,000 ~ 8 Lacs+",Rs 0 ~,No
2009,PUNJAB,Khadoor_Sahib,9,MOHINDER SINGH,LJP,0,5th Pass,43,Not Available,Not Available,No
2009,PUNJAB,Khadoor_Sahib,10,PRAGAT SINGH,IND,0,10th Pass,41,"Rs 7,65,000 ~ 7 Lacs+","Rs 25,000 ~ 25 Thou+",No
2009,PUNJAB,Khadoor_Sahib,11,RAJINDER RIKHI,IND,0,Graduate,34,"Rs 3,07,313 ~ 3 Lacs+",Rs 0 ~,No
2009,PUNJAB,Khadoor_Sahib,12,RAJINDER SINGH,IND,0,Not Given,43,Not Available,Not Available,No
2009,PUNJAB,Khadoor_Sahib,13,RANA GURJEET SINGH,INC,0,10th Pass,57,"Rs 34,09,27,000 ~ 34 Crore+","Rs 88,40,000 ~ 88 Lacs+",No
2009,PUNJAB,Khadoor_Sahib,14,SUKHWANT SINGH,IND,0,Not Given,49,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2009,PUNJAB,Khadoor_Sahib,15,SURINDER SINGH SHAHI,BSP,0,10th Pass,51,Not Available,Not Available,No
