Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,PUNJAB,Ludhiana,16,MANISH TEWARI,INC,0,Graduate Professional,44,"Rs 2,99,41,543 ~ 2 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7946
2009,PUNJAB,Ludhiana,1,AJAY TANDON,IND,0,10th Pass,29,"Rs 1,32,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7955
2009,PUNJAB,Ludhiana,2,BALBIR SINGH,IND,0,8th Pass,73,"Rs 43,10,000 ~ 43 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7967
2009,PUNJAB,Ludhiana,3,CHANDER DEV SINGH,IND,0,8th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7963
2009,PUNJAB,Ludhiana,4,DALJINDER SINGH,IND,0,Not Given,37,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7966
2009,PUNJAB,Ludhiana,5,GIRDHARI LAL,LBP,2,Graduate,58,"Rs 5,23,635 ~ 5 Lacs+","Rs 3,31,394 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7950
2009,PUNJAB,Ludhiana,6,GURCHARAN SINGH,IND,0,10th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7962
2009,PUNJAB,Ludhiana,7,GURCHARAN SINGH GALIB,SAD,0,12th Pass,76,"Rs 3,52,95,747 ~ 3 Crore+","Rs 26,00,000 ~ 26 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7945
2009,PUNJAB,Ludhiana,8,GURINDER SINGH SOOD,JKNPP,0,Not Given,42,"Rs 1,62,38,000 ~ 1 Crore+","Rs 4,10,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7951
2009,PUNJAB,Ludhiana,9,HARBANS SINGH SODHI,IND,0,Post Graduate,71,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7960
2009,PUNJAB,Ludhiana,10,HARISH KUMAR,RWS,0,Not Given,39,"Rs 3,00,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7949
2009,PUNJAB,Ludhiana,11,JASPAL SINGH,BGTD,0,Not Given,32,"Rs 2,18,110 ~ 2 Lacs+","Rs 1,07,100 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7952
2009,PUNJAB,Ludhiana,12,JASVIR SINGH THETHI,IND,0,5th Pass,52,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7964
2009,PUNJAB,Ludhiana,13,KEHAR SINGH,BSP,0,10th Pass,65,"Rs 1,81,53,406 ~ 1 Crore+","Rs 3,15,087 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7944
2009,PUNJAB,Ludhiana,14,KUNAL,IND,0,Graduate,36,"Rs 2,26,09,600 ~ 2 Crore+","Rs 10,02,700 ~ 10 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7961
2009,PUNJAB,Ludhiana,15,LADDU SHAH,LPSP,0,8th Pass,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7954
